target	prediction	equal structures	equal S, AdvP, and RelP clauses
because fred should chew the pancake which he should create he must eat the doughnut because petunia may create a cookie	because fred should chew the pancake which he should create he must eat because the professor should create a cookie which she may create	0	0
sirius must gobble the cakes that the student should hide because sirius should make a doughnut which the professor must sprinkle	sirius must gobble the cakes that the student should hide because sirius should make a doughnut which the student must sprinkle	1	1
since neville should eat many croissants which a student must arrange a professor can gobble many croissants that sirius can chew	since neville should eat many croissants a student must arrange many croissants which a professor can gobble	0	0
since hagrid may eat the doughnuts hagrid must make the eclaire which harry must eat because neville must chew the doughnuts	since hagrid may eat the doughnuts which hagrid must eat neville must chew the cakes because harry must make the doughnut	0	0
because albus should chew the souffle that ginny may sprinkle because hagrid should chew the pancakes fred should eat the strudel	because albus should chew the souffle that hagrid may sprinkle because should chew the pancakes because neville should eat the strudel	0	0
vernon may prepare the chocolates that george may hide since a professor must make the chocolate which a professor can eat	vernon may prepare the chocolates that george may hide since a professor must make a chocolate which the professor can eat	1	1
because george must chew the chocolates since he should prepare the doughnut that fred may hide lily must eat the souffle	because george must chew the chocolates since he should prepare the cake that fred may hide lily must eat the eclaire	1	1
since petunia must create the souffle snape must arrange a eclaire because james must chew the baklava which vernon must sprinkle	since petunia must create the souffle snape must chew a eclaire because vernon must arrange the baklava which james must sprinkle	1	1
since dobby may hide the pancake that sirius may arrange the witch should prepare the eclaires that a wizard should make	since dobby may hide the pancake that sirius may prepare the witch should arrange the eclaires that a wizard should make	1	1
since a professor should hide the cakes which ginny must chew a student must smile since fred must hide the pancake	since a professor should hide the cakes which ginny must chew a student must hide since dobby must arrange the pancake	0	0
because he can sprinkle the souffle he can prepare the souffles because sirius can chew a eclaire that james must prepare	because he can sprinkle the souffle he can prepare the souffles because sirius must chew a eclaire that james can prepare	1	1
ron should eat the croissants because harry can chew a doughnut because dobby should make the cake which draco can assemble	ron should eat the croissants because draco can chew a cake because harry should assemble the doughnut which dobby can make	1	1
since fred should eat a eclaire that sirius should chew because james should prepare many cakes dobby must assemble a doughnut	since fred should eat a eclaire that sirius should chew because james should prepare a eclaire that dobby must assemble	0	0
she can sprinkle the souffles that george must eat because a professor must prepare the doughnut which the wizard can prepare	she can sprinkle the souffles that george must eat because a professor must prepare the doughnut which the wizard must prepare	1	1
a student must create a chocolate that a wizard should create since draco must assemble the eclaire that lupin must gobble	a student must create a chocolate that a wizard should create since draco must hide the eclaire that lupin must assemble	1	1
hermione may create the cake which a professor can prepare because harry should eat the cookies which the student should chew	hermione may create the cake which a professor can prepare because harry should chew the cookies which the student should eat	1	1
since a student may eat the pancakes which a wizard must arrange albus can make the strudels that vernon should make	since a student may eat the pancakes which a professor must arrange vernon can make the strudels that harry should make	1	1
since james can assemble the pancakes ron can prepare the eclaires that dobby must eat because voldemort must make a chocolate	since james can assemble the pancakes ron can eat the eclaires that dobby must prepare because a must make a chocolate	0	0
mcgonagall should gobble the doughnuts that a professor must eat since he must hide the cookies which a wizard can prepare	mcgonagall should gobble the doughnuts that a professor must prepare since he must hide the cookies which a wizard can eat	1	1
because she should hide the croissants lily can arrange a baklava because ginny must create a pancake which he can create	because she should hide the croissants draco can arrange the baklava because neville must create a pancake which he can create	1	1
since lily should arrange the baklava ginny can run because dobby can gobble a pancake because neville must chew many baklava	since lily should arrange the baklava because can can run ginny must gobble a pancake because neville can chew many baklava	0	0
ron should make a doughnut since lupin may prepare the croissants which vernon can gobble since hagrid must hide a pancake	ron should make a doughnut since lupin may prepare the croissants which vernon can hide since hagrid must gobble a pancake	1	1
because he can gobble a doughnut because she should make the pancake that snape should eat george may sprinkle the strudels	because he can gobble a doughnut because snape should make the pancake that she should sprinkle george should eat the strudels	0	1
since sirius may eat a baklava neville may prepare the pancakes because snape can eat many cookies that snape must hide	since sirius may eat a baklava neville may prepare the cookies because snape can sprinkle many pancakes that snape must chew	1	1
because a witch may arrange a baklava that a student can assemble harry can assemble the eclaire which voldemort should eat	because a witch may arrange a baklava that a student can assemble dobby can assemble the eclaire which harry should eat	1	1
because sirius may party mcgonagall must hide the croissants that fred can make because she must swim because harry should jump	because sirius may party mcgonagall must prepare the croissants that fred can gobble because harry must walk because she should jump	0	1
because lily should eat a baklava harry should create the souffle that voldemort can assemble because snape should chew a souffle	because lily should eat a baklava harry should create the souffle that voldemort can chew because snape should assemble a souffle	1	1
since sirius can eat the strudel which dobby must create lily can chew the eclaire since he must eat the pancake	since sirius can eat the strudel which lily must create dobby must chew the eclaire since he can eat the pancake	1	1
the student should prepare a baklava that vernon must eat because a student must create the cake that he must create	the student should prepare a baklava that vernon must create because a student must eat the cake that he must create	1	1
because lily should prepare the cookie that the student must eat lily should wiggle because a professor should hide the doughnuts	because lily should prepare the cookie that the professor must eat lily should wiggle because a student should hide many doughnuts	1	1
because a professor should assemble a croissant that harry must arrange the wizard can sprinkle a baklava that ginny must create	because a professor should assemble a croissant harry must arrange the baklava that a wizard can sprinkle ginny must create a chocolate	0	0
since snape may chew a pancake which lupin can arrange since snape should arrange the pancakes lupin can prepare a cake	since snape may chew a pancake which lupin can arrange since snape should arrange the pancake lupin can prepare a cookie	0	1
since george can arrange the cake ron can prepare the eclaires that albus must hide because lupin may arrange a cookie	since george can arrange the cake ron can prepare the eclaires that lupin must hide because albus may arrange a cake	1	1
since george should giggle since albus can create many pancakes lily should chew many souffles because she can make a doughnut	since george should giggle since albus can many pancakes because lily should create many souffles that she can make	0	0
because james may make a croissant that dobby should sprinkle dobby must gobble the strudels since albus may make the cookies	because james may make a croissant dobby should sprinkle many cookies that dobby must gobble since albus may make the strudels	0	0
albus must sprinkle a cake because snape must sprinkle a croissant that george should gobble because albus must chew a souffle	albus must sprinkle a cake because george must sprinkle a croissant that snape should gobble because a must chew a souffle	0	0
a professor should party since mcgonagall can gobble the baklava that hermione should make since a witch can arrange the eclaires	a professor should party since mcgonagall can arrange the baklava that hermione should make since a witch can gobble the eclaires	1	1
because ron should chew the strudels that ginny can prepare because hermione must create a souffle george can arrange a cake	because ron should chew the strudels that ginny can prepare hermione must create a cake because george can arrange a souffle	0	0
mcgonagall should prepare the eclaire that lily should sprinkle because the wizard may sprinkle a cookie which a witch should eat	mcgonagall should prepare the eclaire that lily should sprinkle because the witch may sprinkle a cookie which a wizard should eat	1	1
since vernon must create a strudel that a professor can create he may chew the croissants which a professor should create	since vernon must create a strudel that a professor can chew he may create many croissants which the professor should create	1	1
the wizard must eat the baklava that albus may prepare because lily must chew the chocolate because a professor may giggle	the wizard must eat the baklava that albus may prepare because lily must chew a chocolate because a professor may giggle	1	1
dobby may assemble a souffle that a witch can gobble since harry should prepare the cookies that a wizard should create	dobby may assemble a souffle that a witch can hide because harry should make the cookies that a witch should create	1	1
james must sprinkle the souffles which a professor can create since the witch should create many cookies that ginny can gobble	james must sprinkle the souffles which a professor can create since the witch should gobble many cookies that ginny can create	1	1
since hagrid should jump a professor can sprinkle the strudel which a professor may hide because the wizard may chew the baklava	since hagrid should jump a professor can sprinkle a strudel which the professor may hide because neville may chew the baklava	0	0
since he should hide a croissant since george can gobble the strudel which the student must gobble lupin may arrange a souffle	since he should hide a croissant since george can gobble the strudel which the student gobble a souffle which lupin can gobble	0	0
because dobby must gobble the doughnuts that fred may hide because a witch should gobble the cakes james must gobble the doughnut	because dobby must gobble the doughnuts that petunia may hide because witch should gobble the eclaires because fred must hide the doughnut	0	0
since a witch must hide the souffle which lily may sprinkle petunia can make the chocolates because lily must assemble a eclaire	since a witch must hide the souffle which lily may sprinkle petunia must make the eclaire because lily can assemble a cookie	0	1
since ron can eat many cookies that hagrid should hide since he may sprinkle the cookie a professor should chew the baklava	since ron can eat many cookies that hagrid should sprinkle since he may hide the professor should chew the pancakes	0	0
neville can eat the cake because a student should walk since the professor should chew the cakes which the student must prepare	neville can eat the cake because a student should laugh since the professor should prepare the baklava which the student must walk	0	0
since a wizard can smile because petunia can assemble the pancake because lupin should chew the baklava ron may eat the croissant	since a wizard can smile because lupin may assemble a pancake because petunia must chew the baklava the wizard may eat the croissant	0	0
because the student can eat the strudel since lupin must chew a croissant which mcgonagall may hide lupin should create a souffle	because the student can eat the strudel since lupin must chew a croissant which mcgonagall may hide a witch should create a souffle	0	0
since vernon must hide a pancake which he can hide a student should prepare the cakes because a wizard must eat a cake	since vernon must hide a pancake which he can hide a wizard should prepare the baklava because a student must eat a doughnut	0	1
because albus must chew a eclaire that albus can eat snape may assemble the eclaire that she must chew because harry can walk	because albus must chew a eclaire that albus can eat she may assemble the eclaire that ginny must chew	0	0
since snape may swim because lupin must chew the strudels that he may gobble neville can assemble the chocolates that she may eat	since snape may chew a doughnut because lupin must chew the strudels that may gobble the chocolates that neville may eat he must walk	0	0
