target,prediction,source length,target length,prediction length,correct,Preserves Tree Structure,Preserves Significant Clauses,Negates Main Verb,Negates Target Verb,Negates Target Verb in Main Clause,Negation Present Outside the Main Clause,Parseable
a wizard can not make many souffles that a professor should arrange,a wizard can not make many souffles that a professor should arrange,11,12,12,1,1,1,1,1,1,0,1
draco should not arrange the baklava,draco should not arrange the baklava,5,6,6,1,1,1,1,1,1,0,1
neville can not hide many cookies,neville can not hide many cookies,5,6,6,1,1,1,1,1,1,0,1
he may not sprinkle the pancake,he may not sprinkle the pancake,5,6,6,1,1,1,1,1,1,0,1
fred can not assemble a doughnut,fred can not assemble a doughnut,5,6,6,1,1,1,1,1,1,0,1
petunia should not hide the souffles,petunia should not hide the souffles,5,6,6,1,1,1,1,1,1,0,1
the professor can not party,the professor can not party,4,5,5,1,1,1,1,1,1,0,1
harry should not prepare the baklava,harry should not prepare the baklava,5,6,6,1,1,1,1,1,1,0,1
hagrid can not chew the souffles,hagrid can not chew the souffles,5,6,6,1,1,1,1,1,1,0,1
james must not assemble a chocolate,james must not assemble a chocolate,5,6,6,1,1,1,1,1,1,0,1
neville can not create the souffle,neville can not create the souffle,5,6,6,1,1,1,1,1,1,0,1
hermione may not wiggle,hermione may not wiggle,3,4,4,1,1,1,1,1,1,0,1
neville can not party,neville can not party,3,4,4,1,1,1,1,1,1,0,1
ron should not hiccup,ron should not hiccup,3,4,4,1,1,1,1,1,1,0,1
george may not laugh,george may not laugh,3,4,4,1,1,1,1,1,1,0,1
fred should not sprinkle many strudels which the wizard may assemble,fred should not sprinkle many strudels which the wizard may assemble,10,11,11,1,1,1,1,1,1,0,1
because the professor may walk harry can not hide the chocolates,because the professor may walk harry can not hide the chocolates,10,11,11,1,1,1,1,1,1,0,1
harry should not wiggle,harry should not wiggle,3,4,4,1,1,1,1,1,1,0,1
sirius can not party,sirius can not party,3,4,4,1,1,1,1,1,1,0,1
hagrid should not jump,hagrid should not jump,3,4,4,1,1,1,1,1,1,0,1
george may not swim,george may not swim,3,4,4,1,1,1,1,1,1,0,1
harry should not swim,harry should not swim,3,4,4,1,1,1,1,1,1,0,1
because he may sprinkle a strudel lily may not assemble a cookie that he may eat,because he may sprinkle a strudel lily may not assemble a cookie that he may eat,15,16,16,1,1,1,1,1,1,0,1
mcgonagall must not gobble the strudels because lupin may hide the chocolate which lily should gobble,mcgonagall must not gobble the strudels because lupin may hide the chocolate which lily should gobble,15,16,16,1,1,1,1,1,1,0,1
because vernon may chew the souffle petunia must not chew the croissants that harry must create,because vernon may chew the souffle petunia must not chew the croissants that harry must create,15,16,16,1,1,1,1,1,1,0,1
sirius may not hide the strudels since snape must assemble the pancake that james may hide,sirius may not hide the strudels since snape must assemble the pancake that james may hide,15,16,16,1,1,1,1,1,1,0,1
petunia should not eat the croissants that he should make,petunia should not eat the croissants that he should make,9,10,10,1,1,1,1,1,1,0,1
lupin should not arrange a eclaire that neville can gobble,lupin should not arrange a eclaire that neville can gobble,9,10,10,1,1,1,1,1,1,0,1
neville should not giggle because james can arrange many strudels,neville should not giggle because james can arrange many strudels,9,10,10,1,1,1,1,1,1,0,1
sirius should not sprinkle the strudel that sirius may hide,sirius should not sprinkle the strudel that sirius may hide,9,10,10,1,1,1,1,1,1,0,1
fred can not make a souffle which fred must prepare,fred can not make a souffle which fred must prepare,9,10,10,1,1,1,1,1,1,0,1
a professor must not create a croissant,a professor must not create a croissant,6,7,7,1,1,1,1,1,1,0,1
a student should not gobble the doughnut,a student should not gobble the doughnut,6,7,7,1,1,1,1,1,1,0,1
snape can not make the eclaire,snape can not make the eclaire,5,6,6,1,1,1,1,1,1,0,1
mcgonagall should not prepare many strudels,mcgonagall should not prepare many strudels,5,6,6,1,1,1,1,1,1,0,1
he must not prepare the chocolates,he must not prepare the chocolates,5,6,6,1,1,1,1,1,1,0,1
because james must create the pancakes that hermione must gobble draco must not eat the cakes which lily must arrange,because james must create the pancakes that hermione must gobble draco must not eat the cakes which lily must arrange,19,20,20,1,1,1,1,1,1,0,1
since voldemort should chew the chocolate that he should make sirius can not create the strudel that harry must gobble,since voldemort should chew the chocolate that he should make sirius can not create the strudel that harry must gobble,19,20,20,1,1,1,1,1,1,0,1
sirius should not sprinkle the pancake since the witch should gobble many cakes because a wizard can create the pancakes,sirius should not sprinkle the pancake since the witch should gobble many cakes because a wizard can create the pancakes,19,20,20,1,1,1,1,1,1,0,1
since draco may prepare the strudels that she may eat dobby can not make the eclaire that hagrid may chew,since draco may prepare the strudels that she may eat dobby can not make the eclaire that hagrid may chew,19,20,20,1,1,1,1,1,1,0,1
mcgonagall can not arrange the cakes that a student should arrange,mcgonagall can not arrange the cakes that a student should arrange,10,11,11,1,1,1,1,1,1,0,1
a witch can not gobble many souffles that hermione may arrange,a witch can not gobble many souffles that hermione may arrange,10,11,11,1,1,1,1,1,1,0,1
neville should not sprinkle the eclaires which a student must prepare,neville should not sprinkle the eclaires which a student must prepare,10,11,11,1,1,1,1,1,1,0,1
since petunia may sprinkle the chocolates that harry must sprinkle a wizard must not giggle,since petunia may sprinkle the chocolates that harry must sprinkle a wizard must not giggle,14,15,15,1,1,1,1,1,1,0,1
mcgonagall may not chew the cookies that dobby must hide,mcgonagall may not chew the cookies that dobby must hide,9,10,10,1,1,1,1,1,1,0,1
he should not prepare the strudel that voldemort should assemble,he should not prepare the strudel that voldemort should assemble,9,10,10,1,1,1,1,1,1,0,1
lupin may not eat the pancakes which george can hide,lupin may not eat the pancakes which george can hide,9,10,10,1,1,1,1,1,1,0,1
sirius should not gobble a doughnut that fred can eat,sirius should not gobble a doughnut that fred can eat,9,10,10,1,1,1,1,1,1,0,1
the wizard can not swim,the wizard can not swim,4,5,5,1,1,1,1,1,1,0,1
the student should not walk,the student should not walk,4,5,5,1,1,1,1,1,1,0,1
hermione must not run,hermione must not run,3,4,4,1,1,1,1,1,1,0,1
ron can not wiggle,ron can not wiggle,3,4,4,1,1,1,1,1,1,0,1
because hermione should assemble the baklava she must not eat a eclaire which draco must prepare,because hermione should assemble the baklava she must not eat a eclaire which draco must prepare,15,16,16,1,1,1,1,1,1,0,1
because neville can gobble a chocolate which he must sprinkle vernon can not chew the souffle,because neville can gobble a chocolate which he must sprinkle vernon can not chew the souffle,15,16,16,1,1,1,1,1,1,0,1
a professor can not hiccup,a professor can not hiccup,4,5,5,1,1,1,1,1,1,0,1
a witch should not smile,a witch should not smile,4,5,5,1,1,1,1,1,1,0,1
a student must not party,a student must not party,4,5,5,1,1,1,1,1,1,0,1
a wizard may not sprinkle a baklava which dobby should hide,a wizard may not sprinkle a baklava which dobby should hide,10,11,11,1,1,1,1,1,1,0,1
a witch must not eat the strudel that fred can sprinkle,a witch must not eat the strudel that fred can sprinkle,10,11,11,1,1,1,1,1,1,0,1
albus can not hide the chocolates which the student must chew,albus can not hide the chocolates which the student must chew,10,11,11,1,1,1,1,1,1,0,1
draco must not eat a croissant that voldemort should assemble,draco must not eat a croissant that voldemort should assemble,9,10,10,1,1,1,1,1,1,0,1
she must not assemble the eclaire which voldemort can assemble,she must not assemble the eclaire which voldemort can assemble,9,10,10,1,1,1,1,1,1,0,1
ginny should not create many baklava that dobby must prepare,ginny should not create many baklava that dobby must prepare,9,10,10,1,1,1,1,1,1,0,1
draco can not gobble a baklava that snape should make,draco can not gobble a baklava that snape should make,9,10,10,1,1,1,1,1,1,0,1
hagrid must not arrange many doughnuts that draco should assemble,hagrid must not arrange many doughnuts that draco should assemble,9,10,10,1,1,1,1,1,1,0,1
harry must not chew the pancakes that hermione should prepare,harry must not chew the pancakes that hermione should prepare,9,10,10,1,1,1,1,1,1,0,1
albus must not gobble the cake which hagrid should create,albus must not gobble the cake which hagrid should create,9,10,10,1,1,1,1,1,1,0,1
james can not hide a pancake,james can not hide a pancake,5,6,6,1,1,1,1,1,1,0,1
voldemort can not arrange the baklava,voldemort can not arrange the baklava,5,6,6,1,1,1,1,1,1,0,1
neville must not eat many cookies,neville must not eat many cookies,5,6,6,1,1,1,1,1,1,0,1
she may not prepare the pancake,she may not prepare the pancake,5,6,6,1,1,1,1,1,1,0,1
since hagrid should assemble the croissants that a witch may sprinkle harry may not party,since hagrid should assemble the croissants that a witch may sprinkle harry may not party,14,15,15,1,1,1,1,1,1,0,1
the student may not prepare the pancakes because the wizard should arrange the chocolate,the student may not prepare the pancakes because the wizard should arrange the chocolate,13,14,14,1,1,1,1,1,1,0,1
george should not hide the chocolate that james can hide because ron should jump,george should not hide the chocolate that james can hide because ron should jump,13,14,14,1,1,1,1,1,1,0,1
lily must not assemble the souffles which he should create,lily must not assemble the souffles which he should create,9,10,10,1,1,1,1,1,1,0,1
ginny must not hide a doughnut that petunia must create,ginny must not hide a doughnut that petunia must create,9,10,10,1,1,1,1,1,1,0,1
mcgonagall should not make the chocolates,mcgonagall should not make the chocolates,5,6,6,1,1,1,1,1,1,0,1
petunia may not prepare a cake,petunia may not prepare a cake,5,6,6,1,1,1,1,1,1,0,1
neville must not assemble the cake,neville must not assemble the cake,5,6,6,1,1,1,1,1,1,0,1
ron may not hide the baklava,ron may not hide the baklava,5,6,6,1,1,1,1,1,1,0,1
hagrid may not eat the croissants,hagrid may not eat the croissants,5,6,6,1,1,1,1,1,1,0,1
hagrid should not prepare the croissants,hagrid should not prepare the croissants,5,6,6,1,1,1,1,1,1,0,1
lily should not gobble the strudels,lily should not gobble the strudels,5,6,6,1,1,1,1,1,1,0,1
fred should not sprinkle many souffles which lily must eat because neville can assemble the strudels that voldemort can hide,fred should not sprinkle many souffles which lily must eat because neville can assemble the strudels that voldemort can hide,19,20,20,1,1,1,1,1,1,0,1
hagrid may not chew the baklava since harry can sprinkle a strudel which james must eat since hermione can smile,hagrid may not chew the baklava since harry can sprinkle a strudel which james must eat since hermione can smile,19,20,20,1,1,1,1,1,1,0,1
snape can not wiggle,snape can not wiggle,3,4,4,1,1,1,1,1,1,0,1
lupin can not hiccup,lupin can not hiccup,3,4,4,1,1,1,1,1,1,0,1
hermione must not wiggle,hermione must not wiggle,3,4,4,1,1,1,1,1,1,0,1
harry may not hide the chocolate since a professor may eat a croissant because vernon should assemble many strudels,harry may not hide the chocolate since a professor may eat a croissant because vernon should assemble many strudels,18,19,19,1,1,1,1,1,1,0,1
the witch may not laugh since neville may assemble the doughnuts that dobby should hide,the witch may not laugh since neville may assemble the doughnuts that dobby should hide,14,15,15,1,1,1,1,1,1,0,1
because ron can chew a cake since dobby should eat the pancakes a witch should not eat the cookies,because ron can chew a cake since dobby should eat the pancakes a witch should not eat the cookies,18,19,19,1,1,1,1,1,1,0,1
neville should not sprinkle the cookies which hagrid may prepare because he can run since a professor must smile,neville should not sprinkle the cookies which hagrid may prepare because he can run since a professor must smile,18,19,19,1,1,1,1,1,1,0,1
lupin may not create the doughnut,lupin may not create the doughnut,5,6,6,1,1,1,1,1,1,0,1
she must not eat a cookie,she must not eat a cookie,5,6,6,1,1,1,1,1,1,0,1
a wizard must not chew a strudel that snape may create,a wizard must not chew a strudel that snape may create,10,11,11,1,1,1,1,1,1,0,1
she may not chew a croissant which draco may assemble,she may not chew a croissant which draco may assemble,9,10,10,1,1,1,1,1,1,0,1
a student should not jump,a student should not jump,4,5,5,1,1,1,1,1,1,0,1
harry must not assemble many pancakes that draco should eat since petunia must jump,harry must not assemble many pancakes that draco should eat since petunia must jump,13,14,14,1,1,1,1,1,1,0,1
since snape can hide the pancakes that petunia can make lupin may not swim,since snape can hide the pancakes that petunia can make lupin may not swim,13,14,14,1,1,1,1,1,1,0,1
george may not arrange a baklava which george may eat because mcgonagall may giggle,george may not arrange a baklava which george may eat because mcgonagall may giggle,13,14,14,1,1,1,1,1,1,0,1
she should not hide a baklava which snape must eat,she should not hide a baklava which snape must eat,9,10,10,1,1,1,1,1,1,0,1
lily can not chew a eclaire that petunia should create,lily can not chew a eclaire that petunia should create,9,10,10,1,1,1,1,1,1,0,1
james should not assemble a souffle that sirius must eat,james should not assemble a souffle that sirius must eat,9,10,10,1,1,1,1,1,1,0,1
hermione can not sprinkle the chocolates,hermione can not sprinkle the chocolates,5,6,6,1,1,1,1,1,1,0,1
sirius must not hide the pancake,sirius must not hide the pancake,5,6,6,1,1,1,1,1,1,0,1
vernon may not eat a strudel,vernon may not eat a strudel,5,6,6,1,1,1,1,1,1,0,1
mcgonagall may not prepare a doughnut,mcgonagall may not prepare a doughnut,5,6,6,1,1,1,1,1,1,0,1
snape should not sprinkle a cookie,snape should not sprinkle a cookie,5,6,6,1,1,1,1,1,1,0,1
voldemort can not sprinkle the chocolates,voldemort can not sprinkle the chocolates,5,6,6,1,1,1,1,1,1,0,1
he must not assemble a souffle,he must not assemble a souffle,5,6,6,1,1,1,1,1,1,0,1
mcgonagall must not eat the croissants,mcgonagall must not eat the croissants,5,6,6,1,1,1,1,1,1,0,1
sirius must not chew the cookies because a professor must arrange the cake that dobby can prepare,sirius must not chew the cookies because a professor must arrange the cake that dobby can prepare,16,17,17,1,1,1,1,1,1,0,1
the student must not gobble the eclaires because snape may jump because hermione can assemble the souffle,the student must not gobble the eclaires because snape may jump because hermione can assemble the souffle,16,17,17,1,1,1,1,1,1,0,1
sirius must not create the pancake because a witch must prepare a strudel that draco should arrange,sirius must not create the pancake because a witch must prepare a strudel that draco should arrange,16,17,17,1,1,1,1,1,1,0,1
dobby should not prepare a doughnut that snape can create since she can prepare the doughnut,dobby should not prepare a doughnut that snape can create since she can prepare the doughnut,15,16,16,1,1,1,1,1,1,0,1
snape should not arrange the doughnuts because ginny must create a pancake,snape should not arrange the doughnuts because ginny must create a pancake,11,12,12,1,1,1,1,1,1,0,1
the professor can not party because a student should hide a cake,the professor can not party because a student should hide a cake,11,12,12,1,1,1,1,1,1,0,1
because ron should assemble the doughnuts ginny may not arrange the cookie,because ron should assemble the doughnuts ginny may not arrange the cookie,11,12,12,1,1,1,1,1,1,0,1
ron can not create the pancake since lupin should sprinkle a eclaire,ron can not create the pancake since lupin should sprinkle a eclaire,11,12,12,1,1,1,1,1,1,0,1
the professor should not hide the croissants,the professor should not hide the croissants,6,7,7,1,1,1,1,1,1,0,1
the witch may not eat a doughnut,the witch may not eat a doughnut,6,7,7,1,1,1,1,1,1,0,1
a wizard should not make a cookie,a wizard should not make a cookie,6,7,7,1,1,1,1,1,1,0,1
the professor can not prepare the souffles,the professor can not prepare the souffles,6,7,7,1,1,1,1,1,1,0,1
the professor may not assemble the strudels because harry can sprinkle the doughnut,the professor may not assemble the strudels because harry can sprinkle the doughnut,12,13,13,1,1,1,1,1,1,0,1
a professor must not chew the croissants which a professor should hide,a professor must not chew the croissants which a professor should hide,11,12,12,1,1,1,1,1,1,0,1
a professor can not sprinkle a strudel which a wizard must create,a professor can not sprinkle a strudel which a wizard must create,11,12,12,1,1,1,1,1,1,0,1
a student may not assemble the chocolates which the witch may eat,a student may not assemble the chocolates which the witch may eat,11,12,12,1,1,1,1,1,1,0,1
a professor should not hide the croissants that a professor may arrange,a professor should not hide the croissants that a professor may arrange,11,12,12,1,1,1,1,1,1,0,1
fred may not prepare many souffles since albus can arrange the strudels which dobby should assemble,fred may not prepare many souffles since albus can arrange the strudels which dobby should assemble,15,16,16,1,1,1,1,1,1,0,1
since snape can arrange a doughnut because lily may prepare the souffles he must not party,since snape can arrange a doughnut because lily may prepare the souffles he must not party,15,16,16,1,1,1,1,1,1,0,1
since james can arrange the souffle which he may prepare hagrid should not hide the doughnuts,since james can arrange the souffle which he may prepare hagrid should not hide the doughnuts,15,16,16,1,1,1,1,1,1,0,1
because hermione must party voldemort may not eat a baklava since albus should sprinkle the strudel,because hermione must party voldemort may not eat a baklava since albus should sprinkle the strudel,15,16,16,1,1,1,1,1,1,0,1
albus should not hiccup because fred should sprinkle the baklava,albus should not hiccup because fred should sprinkle the baklava,9,10,10,1,1,1,1,1,1,0,1
lupin can not prepare the strudels that george may gobble,lupin can not prepare the strudels that george may gobble,9,10,10,1,1,1,1,1,1,0,1
vernon must not hide the cookie that he must assemble,vernon must not hide the cookie that he must assemble,9,10,10,1,1,1,1,1,1,0,1
since a professor must prepare many doughnuts dobby must not arrange a pancake which he must create,since a professor must prepare many doughnuts dobby must not arrange a pancake which he must create,16,17,17,1,1,1,1,1,1,0,1
sirius must not gobble a eclaire that dobby can arrange since a professor can assemble the pancakes,sirius must not gobble a eclaire that dobby can arrange since a professor can assemble the pancakes,16,17,17,1,1,1,1,1,1,0,1
ron may not make a doughnut because sirius can prepare a eclaire which the professor must eat,ron may not make a doughnut because sirius can prepare a eclaire which the professor must eat,16,17,17,1,1,1,1,1,1,0,1
albus may not gobble the chocolates which a witch may hide,albus may not gobble the chocolates which a witch may hide,10,11,11,1,1,1,1,1,1,0,1
ginny must not prepare a chocolate that a student should arrange,ginny must not prepare a chocolate that a student should arrange,10,11,11,1,1,1,1,1,1,0,1
harry must not assemble the eclaires that a wizard can sprinkle,harry must not assemble the eclaires that a wizard can sprinkle,10,11,11,1,1,1,1,1,1,0,1
lupin must not create the cookie that fred should sprinkle,lupin must not create the cookie that fred should sprinkle,9,10,10,1,1,1,1,1,1,0,1
snape may not eat the strudels that voldemort can chew,snape may not eat the strudels that voldemort can chew,9,10,10,1,1,1,1,1,1,0,1
lupin can not make the pancakes which sirius should gobble,lupin can not make the pancakes which sirius should gobble,9,10,10,1,1,1,1,1,1,0,1
since vernon must prepare a souffle which lupin should eat lupin can not prepare many doughnuts that the professor may make,since vernon must prepare a souffle which lupin should eat lupin can not prepare many doughnuts that the professor may make,20,21,21,1,1,1,1,1,1,0,1
because snape may prepare the cookie that the witch should arrange ron must not make the doughnut that she may arrange,because snape may prepare the cookie that the witch should arrange ron must not make the doughnut that she may arrange,20,21,21,1,1,1,1,1,1,0,1
hagrid may not chew a baklava which the witch must arrange because draco can smile because sirius must chew many cookies,hagrid may not chew a baklava which the witch must arrange because draco can smile because sirius must chew many cookies,20,21,21,1,1,1,1,1,1,0,1
a wizard may not make many eclaires that fred must create since lupin must make many eclaires that ron must gobble,a wizard may not make many eclaires that fred must create since lupin must make many eclaires that ron must gobble,20,21,21,1,1,1,1,1,1,0,1
since he can chew the cookies a wizard should not arrange a eclaire since a professor should arrange a eclaire that ron may create,since he can chew the cookies a wizard should not arrange a eclaire since a professor should arrange a eclaire that,23,24,21,0,N/A,N/A,N/A,1,N/A,N/A,0
because albus can eat the croissant the wizard can not make the baklava since albus can eat the eclaires that sirius must prepare,because albus can eat the croissant the wizard can not make the baklava since albus can eat the eclaires that sirius can eat,22,23,23,0,1,1,1,1,1,0,1
because hermione must eat the cookies which the student can hide he should not eat the cake that albus may chew,because hermione must eat the cookies which the student can hide he should not eat the cake that albus may chew,20,21,21,1,1,1,1,1,1,0,1
since petunia should make the strudel mcgonagall may not assemble the souffles which mcgonagall may make,since petunia should make the strudel mcgonagall may not assemble the souffles which mcgonagall may make,15,16,16,1,1,1,1,1,1,0,1
since a student may make the croissants that hermione can gobble the student should not laugh,since a student may make the croissants that hermione can gobble the student should not laugh,15,16,16,1,1,1,1,1,1,0,1
dobby must not arrange the baklava,dobby must not arrange the baklava,5,6,6,1,1,1,1,1,1,0,1
fred must not hide the strudels,fred must not hide the strudels,5,6,6,1,1,1,1,1,1,0,1
lily may not arrange a eclaire,lily may not arrange a eclaire,5,6,6,1,1,1,1,1,1,0,1
fred should not create a souffle,fred should not create a souffle,5,6,6,1,1,1,1,1,1,0,1
the wizard can not create the cookies that albus should assemble since neville may giggle,the wizard can not create the cookies that albus should assemble since neville may giggle,14,15,15,1,1,1,1,1,1,0,1
snape should not make a souffle which lupin should prepare because albus must chew the pancakes,snape should not make a souffle which lupin should prepare because albus must chew the pancakes,15,16,16,1,1,1,1,1,1,0,1
voldemort should not make the chocolates which petunia should make because lily must wiggle,voldemort should not make the chocolates which petunia should make because lily must wiggle,13,14,14,1,1,1,1,1,1,0,1
albus must not run since vernon should chew the cookie which voldemort must chew,albus must not run since vernon should chew the cookie which voldemort must chew,13,14,14,1,1,1,1,1,1,0,1
voldemort can not prepare the pancake which ron must gobble because james should wiggle,voldemort can not prepare the pancake which ron must gobble because james should wiggle,13,14,14,1,1,1,1,1,1,0,1
because fred must eat the strudel the wizard may not create a eclaire,because fred must eat the strudel the wizard may not create a eclaire,12,13,13,1,1,1,1,1,1,0,1
a student can not prepare the chocolates since he must hide the doughnut,a student can not prepare the chocolates since he must hide the doughnut,12,13,13,1,1,1,1,1,1,0,1
the witch may not run,the witch may not run,4,5,5,1,1,1,1,1,1,0,1
a wizard can not create the souffles,a wizard can not create the souffles,6,7,7,1,1,1,1,1,1,0,1
the professor can not sprinkle the eclaires,the professor can not sprinkle the eclaires,6,7,7,1,1,1,1,1,1,0,1
the student must not create the cakes,the student must not create the cakes,6,7,7,1,1,1,1,1,1,0,1
a student should not sprinkle the chocolate,a student should not sprinkle the chocolate,6,7,7,1,1,1,1,1,1,0,1
the professor should not chew a pancake,the professor should not chew a pancake,6,7,7,1,1,1,1,1,1,0,1
george should not smile,george should not smile,3,4,4,1,1,1,1,1,1,0,1
james should not laugh,james should not laugh,3,4,4,1,1,1,1,1,1,0,1
ginny should not walk,ginny should not walk,3,4,4,1,1,1,1,1,1,0,1
draco should not hiccup,draco should not hiccup,3,4,4,1,1,1,1,1,1,0,1
petunia should not prepare many chocolates which petunia should eat since the professor must chew the cookies which vernon must hide,petunia should not prepare many chocolates which petunia should eat since the professor must chew the cookies which vernon must hide,20,21,21,1,1,1,1,1,1,0,1
since the professor may create a strudel a student must not create the chocolates since ron must create the eclaires,since the professor may create a strudel a student must not create the chocolates since ron must create the eclaires,19,20,20,1,1,1,1,1,1,0,1
he should not hide a souffle which hagrid may sprinkle because ron can eat the baklava that petunia should sprinkle,he should not hide a souffle which hagrid may sprinkle because ron can eat the baklava that petunia should sprinkle,19,20,20,1,1,1,1,1,1,0,1
ron may not gobble the cakes that snape must hide,ron may not gobble the cakes that snape must hide,9,10,10,1,1,1,1,1,1,0,1
ron must not sprinkle a strudel which fred should eat,ron must not sprinkle a strudel which fred should eat,9,10,10,1,1,1,1,1,1,0,1
petunia can not arrange the strudels that vernon can chew,petunia can not arrange the strudels that vernon can chew,9,10,10,1,1,1,1,1,1,0,1
sirius may not sprinkle the chocolate that harry should sprinkle,sirius may not sprinkle the chocolate that harry should sprinkle,9,10,10,1,1,1,1,1,1,0,1
james can not gobble the pancakes that she must hide since a student can sprinkle the cake that lupin can make,james can not gobble the pancakes that she must hide since a student can sprinkle the cake that lupin can make,20,21,21,1,1,1,1,1,1,0,1
since ginny should hide the souffles that sirius may arrange a wizard should not jump since harry may hide the strudels,since ginny should hide the souffles that sirius may arrange a wizard should not jump since harry may hide the strudels,20,21,21,1,1,1,1,1,1,0,1
she should not chew the cookie which fred must hide because vernon can arrange many doughnuts since neville can smile,she should not chew the cookie which fred must hide because vernon can arrange many doughnuts since neville can smile,19,20,20,1,1,1,1,1,1,0,1
fred must not eat the croissants which hagrid can chew,fred must not eat the croissants which hagrid can chew,9,10,10,1,1,1,1,1,1,0,1
she may not prepare the croissant which sirius should gobble,she may not prepare the croissant which sirius should gobble,9,10,10,1,1,1,1,1,1,0,1
since harry should hiccup petunia should not hide the eclaires,since harry should hiccup petunia should not hide the eclaires,9,10,10,1,1,1,1,1,1,0,1
ginny should not prepare the souffles which fred must chew,ginny should not prepare the souffles which fred must chew,9,10,10,1,1,1,1,1,1,0,1
draco can not sprinkle the cake that she can chew,draco can not sprinkle the cake that she can chew,9,10,10,1,1,1,1,1,1,0,1
he should not make a cookie which fred must create,he should not make a cookie which fred must create,9,10,10,1,1,1,1,1,1,0,1
harry should not chew many pancakes which vernon can eat,harry should not chew many pancakes which vernon can eat,9,10,10,1,1,1,1,1,1,0,1
because hermione can wiggle mcgonagall must not eat many chocolates,because hermione can wiggle mcgonagall must not eat many chocolates,9,10,10,1,1,1,1,1,1,0,1
snape may not make a chocolate,snape may not make a chocolate,5,6,6,1,1,1,1,1,1,0,1
ginny can not create the strudels,ginny can not create the strudels,5,6,6,1,1,1,1,1,1,0,1
vernon can not run since lupin may jump since draco should arrange the eclaire,vernon can not run since lupin may jump since draco should arrange the eclaire,13,14,14,1,1,1,1,1,1,0,1
since fred must eat many doughnuts the witch must not prepare a chocolate,since fred must eat many doughnuts the witch must not prepare a chocolate,12,13,13,1,1,1,1,1,1,0,1
she must not smile,she must not smile,3,4,4,1,1,1,1,1,1,0,1
vernon must not smile,vernon must not smile,3,4,4,1,1,1,1,1,1,0,1
ron can not giggle,ron can not giggle,3,4,4,1,1,1,1,1,1,0,1
james can not walk,james can not walk,3,4,4,1,1,1,1,1,1,0,1
snape can not giggle,snape can not giggle,3,4,4,1,1,1,1,1,1,0,1
since dobby may arrange a cake draco must not make a eclaire because george should giggle,since dobby may arrange a cake draco must not make a eclaire because george should giggle,15,16,16,1,1,1,1,1,1,0,1
since harry can eat a doughnut lily may not make many cookies that voldemort should assemble,since harry can eat a doughnut lily may not make many cookies that voldemort should assemble,15,16,16,1,1,1,1,1,1,0,1
george can not assemble the croissants since neville should make the doughnut which james must arrange,george can not assemble the croissants since neville should make the doughnut which james must arrange,15,16,16,1,1,1,1,1,1,0,1
a professor can not hiccup,a professor can not hiccup,4,5,5,1,1,1,1,1,1,0,1
a witch must not prepare the cake which george must assemble,a witch must not prepare the cake which george must assemble,10,11,11,1,1,1,1,1,1,0,1
the professor must not assemble the chocolates that lily must assemble,the professor must not assemble the chocolates that lily must assemble,10,11,11,1,1,1,1,1,1,0,1
hermione should not create a pancake that he should sprinkle,hermione should not create a pancake that he should sprinkle,9,10,10,1,1,1,1,1,1,0,1
george must not sprinkle the pancake that sirius must chew,george must not sprinkle the pancake that sirius must chew,9,10,10,1,1,1,1,1,1,0,1
james should not hide the cake that george should create,james should not hide the cake that george should create,9,10,10,1,1,1,1,1,1,0,1
harry may not make a strudel that james can assemble,harry may not make a strudel that james can assemble,9,10,10,1,1,1,1,1,1,0,1
snape can not chew the eclaires which the witch may gobble,snape can not chew the eclaires which the witch may gobble,10,11,11,1,1,1,1,1,1,0,1
the professor must not prepare the doughnuts because hagrid can swim,the professor must not prepare the doughnuts because hagrid can swim,10,11,11,1,1,1,1,1,1,0,1
a professor may not prepare a baklava that george may chew,a professor may not prepare a baklava that george may chew,10,11,11,1,1,1,1,1,1,0,1
albus should not prepare a baklava,albus should not prepare a baklava,5,6,6,1,1,1,1,1,1,0,1
ron should not eat a baklava,ron should not eat a baklava,5,6,6,1,1,1,1,1,1,0,1
dobby should not sprinkle the pancake,dobby should not sprinkle the pancake,5,6,6,1,1,1,1,1,1,0,1
petunia should not hide a baklava that harry can assemble,petunia should not hide a baklava that harry can assemble,9,10,10,1,1,1,1,1,1,0,1
he must not hide the strudel which fred should gobble,he must not hide the strudel which fred should gobble,9,10,10,1,1,1,1,1,1,0,1
draco should not assemble many cookies that fred must sprinkle,draco should not assemble many cookies that fred must sprinkle,9,10,10,1,1,1,1,1,1,0,1
voldemort should not hide a strudel that draco must prepare,voldemort should not hide a strudel that draco must prepare,9,10,10,1,1,1,1,1,1,0,1
vernon can not make the strudels since draco may jump,vernon can not make the strudels since draco may jump,9,10,10,1,1,1,1,1,1,0,1
petunia must not prepare the cake which albus can prepare,petunia must not prepare the cake which albus can prepare,9,10,10,1,1,1,1,1,1,0,1
snape should not assemble the baklava which he should create,snape should not assemble the baklava which he should create,9,10,10,1,1,1,1,1,1,0,1
sirius should not prepare a eclaire which ginny should sprinkle,sirius should not prepare a eclaire which ginny should sprinkle,9,10,10,1,1,1,1,1,1,0,1
petunia should not create the doughnuts that sirius may create,petunia should not create the doughnuts that sirius may create,9,10,10,1,1,1,1,1,1,0,1
voldemort must not prepare the eclaire which mcgonagall should create,voldemort must not prepare the eclaire which mcgonagall should create,9,10,10,1,1,1,1,1,1,0,1
