target,prediction,source length,target length,prediction length,correct,Preserves Tree Structure,Preserves Significant Clauses,Negates Main Verb,Negates Target Verb,Parseable
hagrid can not arrange the cakes since she should make many cakes,he can not chew the cakes,11,12,6,0,0,0,0,0,1
he must not eat a eclaire that a wizard may eat,he may not chew the cakes,10,11,6,0,0,0,0,0,1
ginny may not assemble the chocolates which a witch must hide,ginny must not arrange the baklava,10,11,6,0,0,0,0,0,1
hagrid can not smile,hagrid can not,3,4,3,0,N/A,N/A,N/A,0,0
ginny may not jump,ginny may not walk,3,4,4,0,1,0,0,0,1
he can not walk,he can not,3,4,3,0,N/A,N/A,N/A,0,0
lupin may not jump,lupin may not walk,3,4,4,0,1,0,0,0,1
a student must not gobble the doughnuts,a professor must not gobble the baklava,6,7,7,0,1,0,0,1,1
lupin can not chew the souffle,lupin can not the the,5,6,5,0,N/A,N/A,N/A,0,0
sirius must not sprinkle the chocolates,sirius must not eat the baklava,5,6,6,0,1,0,0,0,1
harry must not arrange many croissants,harry must not arrange the pancakes,5,6,6,0,1,0,0,1,1
george should not eat the cake,george should not make the pancake,5,6,6,0,1,0,0,0,1
dobby should not assemble a strudel,dobby must not hide the baklava,5,6,6,0,1,0,0,0,1
fred must not prepare a pancake that lily must hide because voldemort may eat the chocolates since a witch may jump,fred must not assemble the cookie,20,21,6,0,0,0,0,0,1
since draco may sprinkle the baklava since a witch should assemble the eclaire which petunia must arrange dobby should not laugh,since a student may not chew the baklava,20,21,8,0,0,0,0,0,1
he can not hide a croissant which a witch must eat since neville should gobble the cookies which petunia must make,he must not chew a chocolate,20,21,6,0,0,0,0,0,1
james can not gobble the pancakes that she must hide since a student can sprinkle the cake that lupin can make,lupin can not hiccup,20,21,4,0,0,0,0,0,1
since mcgonagall must hide the cake she should not sprinkle the baklava,since voldemort must hide the baklava,11,12,6,0,0,0,0,0,1
the student must not hide the cookie that a witch can gobble,the professor can not chew the pancake,11,12,7,0,0,0,0,0,1
a professor may not chew the cakes that the student must arrange,the professor must not create the cookies,11,12,7,0,0,0,0,0,1
ron must not make the eclaire since petunia can hide the strudel,ron must not chew the baklava,11,12,6,0,0,0,0,0,1
a wizard may not gobble the croissant that the professor must assemble,the professor must not the the baklava,11,12,7,0,N/A,N/A,N/A,0,0
lupin should not gobble the croissants,lupin should not hide the souffles,5,6,6,0,1,0,0,0,1
sirius should not create the eclaire,sirius should not sprinkle,5,6,4,0,0,0,0,0,1
lupin must not prepare the souffles,lupin must not assemble the souffles,5,6,6,0,1,0,0,0,1
harry must not prepare many croissants,harry must not arrange the eclaires,5,6,6,0,1,0,0,0,1
draco should not prepare a eclaire,draco should not prepare a pancake,5,6,6,0,1,0,0,1,1
because james can create a eclaire that albus must gobble a professor must not assemble the cookie,because a student can sprinkle the baklava because a student may assemble the baklava,16,17,14,0,0,0,0,0,1
since neville should make the doughnuts which the wizard must chew lily must not assemble the cookies,neville should not assemble the cookies which hagrid should assemble,16,17,10,0,0,0,0,1,1
because the wizard must gobble a cookie snape should not hide many chocolates which voldemort must gobble,because he must not eat the souffles that dobby must not eat the cakes that he must not chew the cakes that he must not chew the cakes that he,16,17,30,0,N/A,N/A,N/A,0,0
he must not create the strudels,he may not sprinkle,5,6,4,0,0,0,0,0,1
vernon can not hide a eclaire,vernon can not chew a eclaire,5,6,6,0,1,0,0,0,1
mcgonagall should not prepare many strudels,hagrid may not prepare the strudels,5,6,6,0,1,0,0,1,1
because ginny may arrange a cake hagrid should not prepare the souffles because fred must create the croissants,because a professor should not assemble a cookie,17,18,8,0,0,0,0,0,1
a student may not prepare the croissant which she should chew since the professor must arrange the cake,a professor must not hide the baklava which she must prepare,17,18,11,0,0,0,0,0,1
because hagrid can assemble the croissant lily can not sprinkle the pancakes that the witch may assemble,because the professor should not eat the baklava,16,17,8,0,0,0,0,0,1
sirius should not create many baklava which the wizard should arrange,sirius should not sprinkle the souffles,10,11,6,0,0,0,0,0,1
the witch should not laugh because she can eat a croissant,because should not chew a cookie,10,11,6,0,N/A,N/A,N/A,0,0
draco may not make the eclaire,draco may not make,5,6,4,0,0,0,0,1,1
ron can not assemble the pancakes,ron can not sprinkle the baklava,5,6,6,0,1,0,0,0,1
james can not chew the cake,the can not chew the,5,6,5,0,N/A,N/A,N/A,1,0
vernon must not create many doughnuts,vernon must not arrange a cake,5,6,6,0,0,0,0,0,1
hermione can not sprinkle the chocolates,the can not create the chocolates,5,6,6,0,N/A,N/A,N/A,0,0
since dobby should party lupin may not eat the strudels because the witch can hide the eclaires that lily must arrange,because ginny must eat the cookies must not create the cookies which should must create the souffles which should must create the souffles which should must create the pancakes which,20,21,30,0,N/A,N/A,N/A,0,0
since fred must create the eclaires which lily should arrange hagrid should not make the strudels that dobby should arrange,dobby should not arrange the souffles that dobby should not eat,19,20,11,0,N/A,N/A,N/A,0,0
since albus should eat the pancakes which lily should hide he can not create a cookie since voldemort can hiccup,since student can not hide the baklava which a student can not hide a baklava which a student can hide,19,20,20,0,N/A,N/A,N/A,0,0
a witch must not jump,a witch must not assemble a doughnut,4,5,7,0,0,0,0,0,1
sirius must not prepare a cookie,sirius may not chew a chocolate,5,6,6,0,1,0,0,0,1
george must not prepare the cookies,george must not,5,6,3,0,N/A,N/A,N/A,0,0
she should not hide the souffles,she should not assemble the baklava,5,6,6,0,1,0,0,0,1
vernon may not arrange the doughnut,vernon may not make the strudels,5,6,6,0,0,0,0,0,1
neville should not arrange the cookie that the professor should eat,neville should not prepare the cakes that neville should not,10,11,10,0,N/A,N/A,N/A,0,0
since lupin should gobble the baklava because a wizard should make the chocolates dobby must not hiccup,because a professor must eat the baklava that a professor must not create a cookie that a professor should eat a cookie that a professor should eat,16,17,27,0,N/A,N/A,N/A,0,0
because the witch must eat the baklava which hermione must sprinkle he can not assemble many cookies,because must must sprinkle the baklava which he must assemble the cakes which he must create,16,17,16,0,N/A,N/A,N/A,0,0
harry should not gobble the souffles which a professor may make because harry should create the chocolate,harry should not arrange the chocolate,16,17,6,0,0,0,0,0,1
since a professor must prepare many doughnuts dobby must not arrange a pancake which he must create,since voldemort must prepare a croissant which may prepare a chocolate that a professor must chew,16,17,16,0,N/A,N/A,N/A,0,0
a professor should not swim,a professor should not hide a cookie,4,5,7,0,0,0,0,0,1
ginny should not assemble many souffles which dobby must chew,ginny should not assemble a cookie,9,10,6,0,0,0,0,1,1
fred must not chew a strudel that hermione should chew,fred must not assemble the strudel,9,10,6,0,0,0,0,0,1
lupin must not gobble the cakes which hagrid may make,lupin must not assemble a pancake,9,10,6,0,0,0,0,0,1
vernon may not create the cookie,the wizard may not the strudels,5,6,6,0,N/A,N/A,N/A,0,0
dobby may not gobble many cakes,dobby may not gobble the baklava,5,6,6,0,1,0,0,1,1
george should not chew a doughnut,george should not hide a pancake,5,6,6,0,1,0,0,0,1
neville should not gobble the chocolates,neville should not prepare the baklava,5,6,6,0,1,0,0,0,1
because lily should swim because snape must hide the doughnut that he must eat hermione may not hide a strudel,because dobby must eat the baklava which he must make the cakes which he must make,19,20,16,0,N/A,N/A,N/A,0,0
a wizard can not hide the strudels,ron can not gobble the strudels,6,7,6,0,0,1,0,0,1
the professor should not prepare a chocolate,a student should not assemble a pancake,6,7,7,0,1,0,0,0,1
a wizard must not gobble the croissants,a wizard must not assemble the strudel,6,7,7,0,0,0,0,0,1
the student should not sprinkle the baklava,the student should not the the baklava,6,7,7,0,N/A,N/A,N/A,0,0
a professor can not prepare a chocolate,a witch can not make a eclaire,6,7,7,0,1,0,0,0,1
because mcgonagall should make the strudel hagrid must not chew the baklava that he may assemble,because a student should chew the baklava which he should not chew the baklava,15,16,14,0,N/A,N/A,N/A,1,0
since ginny should gobble the cookie albus must not hide a doughnut that hagrid can hide,the professor should not prepare the chocolate,15,16,7,0,0,0,0,0,1
james should not swim,james should not assemble,3,4,4,0,1,0,0,0,1
petunia must not giggle,petunia must not chew the doughnut,3,4,6,0,0,0,0,0,1
he must not swim,he must not chew,3,4,4,0,1,0,0,0,1
hagrid must not swim,hagrid must not chew the eclaires,3,4,6,0,0,0,0,0,1
snape may not chew the doughnuts that snape must eat,snape must not chew the pancakes,9,10,6,0,0,0,0,1,1
dobby should not make a chocolate that lupin can create,dobby can not gobble the baklava,9,10,6,0,0,0,0,0,1
she should not hide a baklava which snape must eat,she should not hide the baklava that she should not,9,10,10,0,N/A,N/A,N/A,1,0
lupin can not make a croissant,lupin can not chew a croissant,5,6,6,0,1,0,0,0,1
petunia should not chew the souffles,petunia should not hide the baklava,5,6,6,0,1,0,0,0,1
hermione should not arrange the croissants,hermione should not assemble the baklava,5,6,6,0,1,0,0,0,1
since voldemort may jump draco should not chew a cake that she should assemble,since voldemort may assemble the baklava that hagrid must hide the baklava that he must chew,13,14,16,0,N/A,N/A,N/A,0,0
because the professor must arrange a souffle a student must not assemble a croissant,because a student should chew the baklava which a student should not assemble a cookie,13,14,15,0,N/A,N/A,N/A,1,0
because ron can arrange a cookie that he can chew hagrid can not walk,because can can not hiccup,13,14,5,0,N/A,N/A,N/A,0,0
a professor can not hiccup,a can not make a chocolate,4,5,6,0,N/A,N/A,N/A,0,0
vernon should not arrange a eclaire which george must prepare,vernon should not hide a souffle,9,10,6,0,0,0,0,0,1
since snape may laugh albus must not arrange a cake,since petunia must not the baklava,9,10,6,0,N/A,N/A,N/A,0,0
draco may not gobble a baklava which petunia should eat,draco may not gobble the chocolates that draco may not,9,10,10,0,N/A,N/A,N/A,1,0
vernon can not run since lupin may jump since draco should arrange the eclaire,vernon can not hide a baklava,13,14,6,0,0,0,0,0,1
a student must not assemble the chocolates since a student must create the croissants,a student must not assemble a cookie,13,14,7,0,0,0,0,1,1
hermione may not wiggle,hermione may not arrange,3,4,4,0,1,0,0,0,1
james should not laugh,james should not,3,4,3,0,N/A,N/A,N/A,0,0
snape can not walk,snape can not laugh,3,4,4,0,1,0,0,0,1
neville should not party,neville should not hide the cakes,3,4,6,0,0,0,0,0,1
vernon should not prepare the doughnut that sirius may prepare,vernon should not hide the cookies,9,10,6,0,0,0,0,0,1
voldemort must not eat the cakes that fred should hide,voldemort must not hide,9,10,4,0,0,0,0,0,1
lupin must not make the eclaires that ron must gobble,lupin must not assemble the souffles,9,10,6,0,0,0,0,0,1
dobby may not hide a croissant since albus may gobble the eclaire,dobby may not the the baklava,11,12,6,0,N/A,N/A,N/A,0,0
the witch must not gobble the eclaire that a professor may arrange,the professor may not prepare a chocolate,11,12,7,0,0,0,0,0,1
because he can arrange the chocolates sirius can not arrange many strudels,because the can not sprinkle the strudels,11,12,7,0,N/A,N/A,N/A,0,0
vernon should not make a cake since ginny may sprinkle a baklava,vernon should not assemble a souffle,11,12,6,0,0,0,0,0,1
hagrid may not chew a croissant because lupin can hide the strudels,hagrid may not the pancakes,11,12,5,0,N/A,N/A,N/A,0,0
because hagrid can sprinkle the baklava ron should not prepare the cakes that he can prepare,because voldemort should not eat the cakes that he can not chew the cakes,15,16,14,0,N/A,N/A,N/A,0,0
hagrid should not eat many cookies because albus can sprinkle the strudels that hagrid can hide,the can not arrange the strudels,15,16,6,0,N/A,N/A,N/A,0,0
since neville should prepare the chocolates which neville must prepare he may not create the pancake,neville should not assemble the baklava which neville should create,15,16,10,0,0,0,0,0,1
harry should not run,harry should not walk,3,4,4,0,1,0,0,0,1
snape can not laugh,snape can not laugh,3,4,4,1,1,1,1,1,1
voldemort should not hiccup,voldemort should not hide,3,4,4,0,1,0,0,0,1
hermione may not swim,hermione may not eat,3,4,4,0,1,0,0,0,1
sirius can not jump,sirius can not prepare the eclaires,3,4,6,0,0,0,0,0,1
hermione must not hide the cookies,hermione must not hide,5,6,4,0,0,0,0,1,1
james should not arrange many eclaires,james should not assemble the pancake,5,6,6,0,0,0,0,0,1
mcgonagall should not prepare the cakes,the professor can not hide the souffles,5,6,7,0,0,1,0,0,1
the student can not eat the eclaires,the can not create the strudels,6,7,6,0,N/A,N/A,N/A,0,0
a student must not eat the baklava,a student may not chew the baklava,6,7,7,0,1,0,0,0,1
the witch must not hide many pancakes,the professor must not chew the croissants,6,7,7,0,1,0,0,0,1
the professor must not arrange the croissants,the professor must not assemble the croissants,6,7,7,0,1,0,0,0,1
snape should not arrange the strudels which harry can gobble,harry can not can eat,9,10,5,0,N/A,N/A,N/A,0,0
albus should not chew a croissant that he must sprinkle,because should not chew the baklava,9,10,6,0,N/A,N/A,N/A,1,0
george must not prepare the cookies that dobby can chew,dobby should not create the doughnuts that dobby must not,9,10,10,0,N/A,N/A,N/A,0,0
george can not arrange a chocolate that lupin may chew,lupin can not run a pancake lupin may not eat the strudels that lupin may not run,9,10,17,0,N/A,N/A,N/A,0,0
dobby must not jump,dobby must not hide,3,4,4,0,1,0,0,0,1
ron may not walk,ron may not walk,3,4,4,1,1,1,1,1,1
george should not smile,george should not,3,4,3,0,N/A,N/A,N/A,0,0
draco may not run,draco may not arrange,3,4,4,0,1,0,0,0,1
hagrid may not jump,hagrid may not walk,3,4,4,0,1,0,0,0,1
harry should not hiccup,harry should not arrange the eclaires,3,4,6,0,0,0,0,0,1
hagrid should not smile,hagrid should not,3,4,3,0,N/A,N/A,N/A,0,0
the student may not run,the professor may not,4,5,4,0,N/A,N/A,N/A,0,0
dobby can not assemble the strudel,dobby can not hide,5,6,4,0,0,0,0,0,1
fred must not arrange the doughnuts,fred must not assemble the strudel,5,6,6,0,0,0,0,0,1
dobby can not chew the pancake,dobby can not not,5,6,4,0,N/A,N/A,N/A,0,0
harry must not hide the chocolates,harry may not create the pancakes,5,6,6,0,1,0,0,0,1
lily should not party,lily should not hide the pancakes,3,4,6,0,0,0,0,0,1
mcgonagall should not smile,neville should not smile,3,4,4,0,1,0,0,1,1
lupin may not laugh,lupin may not,3,4,3,0,N/A,N/A,N/A,0,0
snape must not laugh,snape must not,3,4,3,0,N/A,N/A,N/A,0,0
harry should not swim,harry should not walk,3,4,4,0,1,0,0,0,1
the witch must not create the pancakes,the professor can not,6,7,4,0,N/A,N/A,N/A,0,0
a wizard may not hide a cookie,a wizard may not make a wizard may not,6,7,9,0,N/A,N/A,N/A,0,0
the wizard may not prepare a strudel,the professor may not chew the baklava,6,7,7,0,1,0,0,0,1
the wizard must not chew the cookies,the student must not,6,7,4,0,N/A,N/A,N/A,0,0
the professor can not prepare the eclaires,the can not chew the strudels,6,7,6,0,N/A,N/A,N/A,0,0
the witch can not chew the cookies,the can not prepare the pancake,6,7,6,0,N/A,N/A,N/A,0,0
voldemort can not arrange the baklava,voldemort can not laugh,5,6,4,0,0,0,0,0,1
james may not chew the croissant,james may not arrange the chocolate,5,6,6,0,1,0,0,0,1
snape can not make the croissants,the can not can the,5,6,5,0,N/A,N/A,N/A,0,0
sirius may not gobble a baklava,sirius may not chew a chocolate,5,6,6,0,0,0,0,0,1
a witch can not wiggle,a student can not,4,5,4,0,N/A,N/A,N/A,0,0
harry can not smile since a student should create a croissant that hermione can make,harry can not make the eclaires,14,15,6,0,0,0,0,0,1
sirius can not arrange many doughnuts,sirius can not arrange the strudels,5,6,6,0,1,0,0,1,1
voldemort can not prepare the cake,the can not create the doughnut,5,6,6,0,N/A,N/A,N/A,0,0
fred must not eat many souffles,fred must not arrange the pancake,5,6,6,0,0,0,0,0,1
voldemort can not chew a cookie,voldemort may not a pancake,5,6,5,0,N/A,N/A,N/A,0,0
voldemort must not prepare the cake,voldemort must not chew the baklava,5,6,6,0,1,0,0,0,1
neville may not arrange the eclaire that the student must chew,neville may not assemble a cake,10,11,6,0,0,0,0,0,1
the wizard should not chew a pancake that ginny should eat,the student should not hide the cookies,10,11,7,0,0,0,0,0,1
lupin should not chew a eclaire which the witch must create,lupin should not arrange a cookie that lupin should make,10,11,10,0,0,1,0,0,1
mcgonagall may not chew the chocolates that a student may eat,mcgonagall may not create the baklava that he may not create the baklava that he may not,10,11,17,0,N/A,N/A,N/A,0,0
the wizard must not jump since fred must wiggle since he may create the chocolates,the professor must not chew the baklava,14,15,7,0,0,0,0,0,1
because draco can assemble a cookie that dobby should chew petunia must not jump,because a student must chew the cakes which a student should chew a cookie,13,14,14,0,N/A,N/A,N/A,0,0
since hermione should eat a doughnut that ron must arrange hermione should not laugh,since petunia must not the baklava,13,14,6,0,N/A,N/A,N/A,0,0
since a student must arrange a cookie that hermione must hide sirius may not arrange a cake,since a professor must not a chocolate,16,17,7,0,N/A,N/A,N/A,0,0
hagrid may not chew the croissants since dobby must create the baklava which james may prepare,hagrid may not chew the pancake,15,16,6,0,0,0,0,1,1
since she must chew the doughnuts albus must not arrange the chocolates that ginny can sprinkle,since he can not the baklava,15,16,6,0,N/A,N/A,N/A,0,0
sirius must not gobble the doughnuts that vernon can assemble since he must gobble the baklava,sirius can not assemble the baklava,15,16,6,0,0,0,0,0,1
since neville must eat the cakes that she should gobble fred should not gobble a baklava,since neville must not assemble a doughnut which neville must not assemble,15,16,12,0,N/A,N/A,N/A,0,0
because snape must jump petunia should not giggle because ginny can run,because ginny must eat the baklava which ron must eat the souffles,11,12,12,0,N/A,N/A,N/A,0,0
because sirius may arrange many eclaires ginny can not assemble a doughnut,because a student may not chew a cookie,11,12,8,0,0,0,0,0,1
the student must not create the pancakes that james can eat,the student can not chew the pancake,10,11,7,0,0,0,0,0,1
the witch can not assemble a eclaire that harry can gobble,the can not chew the chocolate,10,11,6,0,N/A,N/A,N/A,0,0
the witch may not gobble the chocolates which vernon may make,vernon may not make the chocolates,10,11,6,0,0,0,0,0,1
neville can not sprinkle the pancake that the wizard may assemble,the can not assemble the baklava,10,11,6,0,N/A,N/A,N/A,0,0
the professor can not create the croissants which vernon must eat,the student must not create the cookies that vernon must create,10,11,11,0,1,0,0,1,1
a student can not chew the cakes that dobby may arrange,dobby should not chew the professor can not create,10,11,9,0,N/A,N/A,N/A,1,0
since hermione should walk neville should not create the croissants which snape may sprinkle because a witch must prepare a eclaire,because hagrid must hide the baklava that ginny must not create a eclaire that ginny must create a cookie,20,21,19,0,N/A,N/A,N/A,1,0
because snape may chew a cake because a professor may create a pancake that hermione should make sirius should not party,because a professor should hide the baklava that a professor should not chew a cookie,20,21,15,0,N/A,N/A,N/A,0,0
he should not arrange the cakes that lily should assemble because lily should hide the eclaires that the wizard can hide,he should not hide,20,21,4,0,0,0,0,0,1
james may not walk since the wizard should wiggle,james must not arrange a croissant,8,9,6,0,0,0,0,0,1
since a professor must create a pancake george must not sprinkle many eclaires,since voldemort may not the baklava that a professor may not chew a chocolate,12,13,14,0,N/A,N/A,N/A,0,0
because she should eat the eclaires a professor must not prepare the baklava,because a student should hide the baklava,12,13,7,0,0,0,0,0,1
since mcgonagall may chew the cakes the wizard may not eat a croissant,since voldemort may not a croissant,12,13,6,0,N/A,N/A,N/A,0,0
he must not giggle,he must not chew the eclaires,3,4,6,0,0,0,0,0,1
sirius can not wiggle,sirius can not run,3,4,4,0,1,0,0,0,1
james may not walk,james can not,3,4,3,0,N/A,N/A,N/A,0,0
draco should not laugh,draco should not sprinkle the strudels,3,4,6,0,0,0,0,0,1
because the wizard may hide a croissant which she must gobble george may not eat the cakes which the student should prepare,because a student should chew the cakes that a student should not chew a cookie,21,22,15,0,N/A,N/A,N/A,0,0
because ginny must prepare the cake she must not hide the baklava because draco may eat the chocolate which petunia must chew,because a professor should chew a cookie which should not assemble a cookie,21,22,13,0,N/A,N/A,N/A,0,0
since the wizard must sprinkle the souffles that neville should chew voldemort may not make the eclaires because lupin must giggle,since fred should must chew the baklava that hagrid must chew,20,21,11,0,N/A,N/A,N/A,0,0
a witch should not prepare a cookie that albus must make,a professor should not assemble a croissant,10,11,7,0,0,0,0,0,1
voldemort should not prepare the eclaires which ginny should create,voldemort can not hide the baklava,9,10,6,0,0,0,0,0,1
fred may not eat the croissants that draco should sprinkle,draco should not eat the baklava that draco should not eat the strudels,9,10,13,0,N/A,N/A,N/A,1,0
draco must not arrange a cookie that fred must assemble since harry must gobble the cookies,draco must not arrange the baklava,15,16,6,0,0,0,0,1,1
since lupin should create the cookie draco may not prepare the baklava because a witch must gobble the cakes which she may make,because a professor may not a a croissant,22,23,8,0,N/A,N/A,N/A,0,0
the professor should not create the souffles that a witch must arrange because draco may eat the pancake which a wizard may create,the professor should not eat a cake,22,23,7,0,0,0,0,0,1
because hagrid must sprinkle the baklava fred may not run because lily must gobble the doughnut because sirius may gobble the cakes,because he may gobble the cakes that he may not gobble the cakes that he may gobble,21,22,17,0,N/A,N/A,N/A,0,0
because the student should laugh a witch must not eat the souffle that fred must create since lupin should create the cookies,because a student should hide the cakes which a student should not hide the cakes,21,22,15,0,N/A,N/A,N/A,0,0
fred must not create the souffle because fred can assemble many pancakes that ginny must chew since sirius may create the doughnut,fred must not prepare the chocolates,21,22,6,0,0,0,0,0,1
ron should not make the pancakes,ron should not walk,5,6,4,0,0,0,0,0,1
petunia should not gobble the cake,petunia should not hide,5,6,4,0,0,0,0,0,1
voldemort should not prepare the croissant,voldemort may not hiccup,5,6,4,0,0,0,0,0,1
george must not hide the cakes,george must not hide,5,6,4,0,0,0,0,1,1
petunia can not gobble the baklava since hagrid may create the strudels which vernon may prepare,albus may not wiggle,15,16,4,0,0,0,0,0,1
george should not sprinkle many eclaires which the student must eat because a student may jump,george should not hide a cookie,15,16,6,0,0,0,0,0,1
dobby may not hide the baklava that snape should eat,dobby may not eat the cookies,9,10,6,0,0,0,0,0,1
hermione must not chew the souffle which ginny can arrange,hermione must not arrange the baklava,9,10,6,0,0,0,0,0,1
harry should not gobble the souffles that lupin must make,harry must not arrange the pancakes,9,10,6,0,0,0,0,0,1
because hagrid may gobble the cakes draco must not sprinkle the pancake that vernon should sprinkle,because the professor can not sprinkle the baklava,15,16,8,0,0,0,0,1,1
since george may create the eclaire that hermione may assemble harry may not hide the croissants,a professor must not gobble the pancakes that harry should not create,15,16,12,0,N/A,N/A,N/A,0,0
since harry can eat a doughnut lily may not make many cookies that voldemort should assemble,since he can hide the baklava that she can create,15,16,10,0,0,0,0,0,1
he must not swim,he must not,3,4,3,0,N/A,N/A,N/A,0,0
dobby must not make a chocolate that fred may chew,dobby may not eat the baklava,9,10,6,0,0,0,0,0,1
neville may not make a pancake which she must arrange,neville may not chew a cake that neville must chew,9,10,10,0,0,0,0,0,1
a student should not sprinkle the cakes that mcgonagall may create,a student may not chew a chocolate,10,11,7,0,0,0,0,0,1
hagrid can not prepare many strudels which the professor must arrange,mcgonagall can not arrange a croissant that he can not chew a eclaire,10,11,13,0,N/A,N/A,N/A,0,0
ginny may not chew the croissants that the witch must arrange,ginny must not arrange the strudel,10,11,6,0,0,0,0,0,1
a wizard should not create a baklava which james can gobble,a professor should not hide a cookie,10,11,7,0,0,0,0,0,1
since ginny should giggle lily may not jump,since he must hide the baklava,7,8,6,0,0,0,0,0,1
petunia should not hiccup since harry should jump,petunia should not hide the baklava,7,8,6,0,0,0,0,0,1
the student should not laugh,the student should not hide the baklava,4,5,7,0,0,0,0,0,1
because he can create the doughnuts mcgonagall must not walk because george may arrange many chocolates that snape should hide,because ron should hide the cakes which should not eat the cakes that he should hide,19,20,16,0,N/A,N/A,N/A,0,0
since he can hide the chocolates ron must not walk since sirius may make the souffle which fred must chew,since must not chew a pancake that a professor must chew,19,20,11,0,N/A,N/A,N/A,0,0
fred may not arrange a cake that draco should eat,fred may not assemble the cakes,9,10,6,0,0,0,0,0,1
dobby should not sprinkle the croissants that lupin must sprinkle,dobby may not gobble the souffles,9,10,6,0,0,0,0,0,1
lupin must not create many pancakes which she must gobble,lupin must not assemble the souffles,9,10,6,0,0,0,0,0,1
ginny can not hiccup because hermione must eat the chocolates,hermione can not eat the baklava that a can not eat the baklava that because can can eat,9,10,18,0,N/A,N/A,N/A,0,0
because a professor must run dobby should not laugh,because a student can hide the baklava,8,9,7,0,0,0,0,0,1
sirius can not sprinkle the cake because the professor should arrange the cookies,because mcgonagall should make the souffle which should not create the souffle,12,13,12,0,N/A,N/A,N/A,0,0
snape can not hide the cookies which vernon must chew,vernon must not chew the cookies which hagrid must chew,9,10,10,0,1,0,0,0,1
george may not arrange the pancakes since hagrid should jump,george must not,9,10,3,0,N/A,N/A,N/A,0,0
james should not arrange the pancake which petunia may chew,james should not assemble the pancake,9,10,6,0,0,0,0,0,1
draco should not sprinkle the eclaire that james must prepare,draco should not eat a cake,9,10,6,0,0,0,0,0,1
sirius must not create the pancake because a witch must prepare a strudel that draco should arrange,sirius must not chew a chocolate,16,17,6,0,0,0,0,0,1
the wizard must not hide the chocolates because he must chew the cake because george can party,the professor must not chew the croissants,16,17,7,0,0,0,0,0,1
the student may not make a chocolate because draco may assemble a baklava that hagrid should arrange,the professor may not chew the baklava,16,17,7,0,0,0,0,0,1
since james should giggle the student should not gobble the chocolates that george must hide,since wizard must not hide the cookies,14,15,7,0,N/A,N/A,N/A,0,0
petunia can not prepare the doughnuts that neville should assemble,neville should not prepare the baklava,9,10,6,0,0,0,0,1,1
since albus must laugh dobby should not arrange the cookie,since petunia must not the baklava,9,10,6,0,N/A,N/A,N/A,0,0
snape should not prepare the eclaires that neville must prepare,neville must not assemble a baklava that neville must create,9,10,10,0,1,0,0,0,1
hermione should not gobble many strudels which snape must arrange,hermione should not eat the baklava that she should chew,9,10,10,0,0,0,0,0,1
dobby should not sprinkle the pancake,dobby should not hide,5,6,4,0,0,0,0,0,1
hagrid should not arrange the souffle,hagrid should not the cookies,5,6,5,0,N/A,N/A,N/A,0,0
hermione must not hide a cake,hermione must not arrange a strudel,5,6,6,0,1,0,0,0,1
she should not prepare the eclaires,she should not assemble the baklava,5,6,6,0,1,0,0,0,1
she should not gobble a eclaire that voldemort can gobble,she should not prepare the cookies,9,10,6,0,0,0,0,0,1
dobby should not create a pancake that petunia should eat,dobby should not hide the cakes,9,10,6,0,0,0,0,0,1
hagrid must not make the souffle which he should arrange,hagrid must not chew the eclaires,9,10,6,0,0,0,0,0,1
ginny must not chew the doughnuts which fred must make,ginny must not arrange a croissant,9,10,6,0,0,0,0,0,1
hermione may not gobble the cookie which a student must assemble,hermione may not assemble a baklava,10,11,6,0,0,0,0,0,1
the professor may not eat many croissants that albus must create,the professor must not chew the croissants,10,11,7,0,0,0,0,0,1
a witch should not arrange the croissants that vernon may make,vernon can not make a chocolate that vernon can make,10,11,10,0,0,1,0,0,1
voldemort can not prepare the eclaire which a professor may assemble,the can not create the cookies that may may not create the strudels,10,11,13,0,N/A,N/A,N/A,0,0
she should not prepare the cakes,the student may not gobble the cookies,5,6,7,0,0,1,0,0,1
voldemort should not prepare the cookies,voldemort may not prepare,5,6,4,0,0,0,0,1,1
snape can not sprinkle the chocolates,the can not create the chocolates,5,6,6,0,N/A,N/A,N/A,0,0
petunia should not gobble the baklava,petunia should not hide the baklava,5,6,6,0,1,0,0,0,1
the professor can not walk,the professor can not,4,5,4,0,N/A,N/A,N/A,0,0
a professor must not laugh,a professor must not chew a eclaire,4,5,7,0,0,0,0,0,1
dobby may not chew a pancake,dobby may not a pancake,5,6,5,0,N/A,N/A,N/A,0,0
lupin must not hide the souffles,lupin must not assemble the souffles,5,6,6,0,1,0,0,0,1
albus may not prepare the cookie,the may not prepare the strudels,5,6,6,0,N/A,N/A,N/A,1,0
albus may not sprinkle many strudels,he may not prepare the strudels,5,6,6,0,0,0,0,0,1
ginny may not gobble the eclaires,ginny may not assemble the strudels,5,6,6,0,1,0,0,0,1
hagrid may not sprinkle a chocolate that petunia must gobble since lupin must make the chocolates,hagrid may not chew a chocolate,15,16,6,0,0,0,0,0,1
snape may not chew the souffles because vernon may assemble the baklava that hermione can sprinkle,snape can not assemble the eclaires,15,16,6,0,0,0,0,0,1
voldemort must not gobble the cake,voldemort must not hide,5,6,4,0,0,0,0,0,1
sirius can not create the cookie,draco can not prepare the chocolate,5,6,6,0,1,0,0,0,1
