target,prediction,source length,target length,prediction length,correct,Preserves Tree Structure,Preserves Significant Clauses,Parseable
hermione must giggle,hermione must chew,3,3,3,0,1,0,1
she may swim,she may gobble,3,3,3,0,1,0,1
a professor should create the eclaire,a professor may the strudels,6,6,5,0,N/A,N/A,0
a student must gobble the doughnuts,a student must gobble the baklava,6,6,6,0,1,0,1
because the wizard must hide the croissants that the student can make a witch must party,because a must must chew a cake which must must make a cake,16,16,13,0,N/A,N/A,0
petunia can arrange many souffles which george can create since a professor can make the strudel,a can can the the can can make,16,16,8,0,N/A,N/A,0
snape may hide a chocolate that a wizard must gobble because albus should chew the cookies,snape must chew,16,16,3,0,0,0,1
hagrid can arrange the strudels,the can sprinkle the strudels,5,5,5,0,N/A,N/A,0
harry can gobble the strudels,the strudels,5,5,2,0,N/A,N/A,0
he can make the souffles,vernon can arrange the pancake,5,5,5,0,0,0,1
harry must sprinkle the doughnut,harry may create the pancakes,5,5,5,0,0,0,1
he should assemble the baklava,he should assemble the baklava,5,5,5,1,1,1,1
he may arrange many strudels that james should chew because he may create the baklava because george should party,he may gobble,19,19,3,0,0,0,1
albus can gobble a baklava that dobby must gobble since snape can hide the souffles that mcgonagall must hide,albus must chew the strudel that dobby must chew,19,19,9,0,0,0,1
because lily can create the croissant that mcgonagall may gobble george must gobble the cookie which ron must sprinkle,because a professor may gobble the baklava that dobby may gobble the baklava that he must gobble,19,19,17,0,N/A,N/A,0
hagrid should chew many doughnuts,hagrid should chew the baklava,5,5,5,0,1,0,1
ron should gobble a pancake,ron should assemble a cake,5,5,5,0,1,0,1
hagrid must prepare many doughnuts,hagrid must chew the baklava,5,5,5,0,1,0,1
he can gobble the pancakes,the can can the the can not,5,5,7,0,N/A,N/A,0
ginny should sprinkle the eclaire,ginny should sprinkle,5,5,3,0,0,0,1
since dobby may hide the pancake that sirius may arrange the witch should prepare the eclaires that a wizard should make,a should prepare a chocolate,21,21,5,0,N/A,N/A,0
dobby may assemble a souffle that a witch can gobble since harry should prepare the cookies that a wizard should create,dobby may prepare,21,21,3,0,0,0,1
james must assemble a chocolate,james must assemble a cookie,5,5,5,0,1,0,1
a wizard can jump,a wizard can chew,4,4,4,0,1,0,1
the student may jump,the student may gobble the strudels,4,4,6,0,0,0,1
the witch may walk,the professor may,4,4,3,0,N/A,N/A,0
a professor should swim,a professor should hide,4,4,4,0,1,0,1
ginny should eat the chocolate,the professor can gobble the baklava,5,5,6,0,0,1,1
vernon must make the croissant,vernon must chew,5,5,3,0,0,0,1
mcgonagall can chew the cookies,the can can the the can not,5,5,7,0,N/A,N/A,0
the professor may create the doughnut,the professor may prepare the strudels,6,6,6,0,0,0,1
mcgonagall may chew the eclaire which voldemort must eat because fred can hiccup,mcgonagall may assemble a baklava,13,13,5,0,0,0,1
a professor should hide the eclaire which george must assemble,a professor must hide a strudel which a wizard must hide,10,10,11,0,0,1,1
a student can arrange the strudels that neville must arrange,neville must assemble the pancakes that neville can assemble a professor can assemble a witch can assemble a witch can assemble a witch can assemble a witch can assemble a,10,10,30,0,N/A,N/A,0
a student can eat the strudels that ginny should create,draco can arrange the strudels,10,10,5,0,0,0,1
mcgonagall can sprinkle many chocolates that a wizard can create,mcgonagall can arrange the chocolates,10,10,5,0,0,0,1
the professor can chew many cakes which sirius may create,the professor can eat the pancake,10,10,6,0,0,0,1
draco may eat many eclaires which a professor must hide,draco may chew a cake that a student must make,10,10,10,0,0,0,1
ron may arrange the doughnut because mcgonagall should eat a eclaire,because a professor may prepare the pancake that ginny may not chew the strudels,11,11,14,0,N/A,N/A,0
james can swim,james can make,3,3,3,0,1,0,1
she must run,she must arrange,3,3,3,0,1,0,1
fred must run,fred must assemble,3,3,3,0,1,0,1
lily should jump,a should should prepare,3,3,4,0,N/A,N/A,0
lupin should walk,lupin should walk,3,3,3,1,1,1,1
james may create a doughnut that george must eat,james must chew,9,9,3,0,0,0,1
hagrid must eat a baklava that she must assemble,hagrid must chew a pancake,9,9,5,0,0,0,1
ron may arrange the eclaires which he must gobble,ron must chew the baklava,9,9,5,0,0,0,1
fred may prepare the baklava which draco may arrange,fred may arrange the souffles which the may sprinkle the souffles,9,9,11,0,N/A,N/A,0
a professor must jump since james must chew the pancakes,a professor must chew a eclaire,10,10,6,0,0,0,1
a professor can arrange the souffle that harry must gobble,a student must prepare the baklava that a must create,10,10,10,0,N/A,N/A,0
she must make the baklava,she must arrange,5,5,3,0,0,0,1
ginny must eat the cookies,the student must eat the cookies,5,5,6,0,0,1,1
george may eat a cookie,george may make a pancake,5,5,5,0,1,0,1
lupin can hide the chocolates,the can can sprinkle the chocolates,5,5,6,0,N/A,N/A,0
since a professor may sprinkle many strudels that james can gobble he must prepare the cookie,he can gobble the souffles,16,16,5,0,0,0,1
she should hide a baklava that he should prepare since the student may create the cookies,she should prepare the cookies,16,16,5,0,0,0,1
mcgonagall can make a souffle that james should sprinkle,a professor should sprinkle,9,9,4,0,0,0,1
george must gobble the eclaires that sirius should make,george must make,9,9,3,0,0,0,1
fred should eat a eclaire which ginny should eat,fred should gobble the cakes that fred should gobble,9,9,9,0,0,0,1
because sirius must make a doughnut ron must jump,because a must hide the baklava which a must assemble a cake,9,9,12,0,N/A,N/A,0
lupin must smile since snape can gobble the pancakes,lupin may gobble the souffles,9,9,5,0,0,0,1
snape should create the souffles that snape may prepare,snape should prepare,9,9,3,0,0,0,1
james must assemble the eclaire that lupin can prepare,james must prepare a cookie,9,9,5,0,0,0,1
james may make the cakes that voldemort must make,a professor must assemble the cakes that a must assemble,9,9,10,0,N/A,N/A,0
ginny should prepare the pancakes that fred can eat,since the can eat,9,9,4,0,N/A,N/A,0
she can prepare the cake which neville can chew,neville can eat the cookies which neville can chew,9,9,9,0,0,0,1
hermione can prepare the souffles,the can can the the can not,5,5,7,0,N/A,N/A,0
fred should arrange the doughnut,fred should make the souffles,5,5,5,0,0,0,1
hermione must create the baklava,hermione must chew the baklava,5,5,5,0,1,0,1
draco must arrange a eclaire,draco must make a cake,5,5,5,0,1,0,1
fred can create the doughnuts since she should jump since voldemort may sprinkle the baklava that draco should chew,the professor must chew the pancakes,19,19,6,0,0,0,1
harry may arrange a croissant which harry should prepare since lily should eat a strudel which george may sprinkle,harry may create a eclaire,19,19,5,0,0,0,1
james should gobble a doughnut that hagrid should sprinkle since petunia must chew a cake which he should eat,james should hide the cakes that he should hide,19,19,9,0,0,0,1
since hermione may laugh because she should party the wizard may assemble the pancake because sirius may wiggle,because may may sprinkle the may not assemble the baklava,18,18,10,0,N/A,N/A,0
the student should hide the doughnuts that george must prepare,the student should hide the cakes,10,10,6,0,0,0,1
he can assemble the souffles which the wizard must sprinkle,he must sprinkle the baklava,10,10,5,0,0,0,1
since voldemort must chew a chocolate mcgonagall may sprinkle the strudels that dobby must make,dobby must hide the strudel,15,15,5,0,0,0,1
since ginny must prepare a pancake that harry must prepare lily must arrange the cakes,since voldemort must hide the baklava,15,15,6,0,0,0,1
petunia must eat the baklava because albus may hide the souffle which harry may make,petunia should hide a baklava,15,15,5,0,0,0,1
because neville must eat the doughnuts lupin can make a souffle that ginny must sprinkle,because a professor must sprinkle the baklava which he must gobble the baklava,15,15,13,0,N/A,N/A,0
hermione can party,hermione must chew,3,3,3,0,1,0,1
hermione must wiggle,hermione must chew,3,3,3,0,1,0,1
lupin should swim,lupin should walk,3,3,3,0,1,0,1
she should laugh,she should laugh,3,3,3,1,1,1,1
lupin may smile,lupin may gobble,3,3,3,0,1,0,1
the student should prepare a baklava that vernon must eat because a student must create the cake that he must create,the student should chew the baklava that a student should chew,21,21,11,0,0,0,1
voldemort must hide a cookie because hermione may assemble a cake since petunia must eat the baklava,voldemort may hide the baklava,17,17,5,0,0,0,1
ginny should assemble a eclaire since the professor may gobble the pancakes that the student can gobble,ginny should hide a souffle,17,17,5,0,0,0,1
the witch may arrange a souffle that ginny can arrange,the professor can chew the baklava,10,10,6,0,0,0,1
a student may create a eclaire that draco must hide,a professor must create,10,10,4,0,0,0,1
because mcgonagall can assemble a doughnut albus must eat the chocolates,because the student can hide the baklava,11,11,7,0,0,0,1
ginny may assemble the souffle because sirius can prepare the cookies,the can eat the souffles,11,11,5,0,N/A,N/A,0
dobby must assemble the doughnut because george can gobble the souffles,dobby may arrange the souffles,11,11,5,0,0,0,1
mcgonagall must chew many cakes because the wizard must sprinkle the souffles,mcgonagall must assemble the baklava,12,12,5,0,0,0,1
the professor can arrange a souffle since george may make the chocolates,the professor can chew the pancake,12,12,6,0,0,0,1
because the student can hide many pancakes draco must assemble the cakes,because the professor should chew the baklava that albus should chew the cakes that albus should chew,12,12,17,0,N/A,N/A,0
since hermione may smile james should giggle,since voldemort may prepare the pancake,7,7,6,0,0,0,1
because voldemort must run hermione must jump,because must must chew the baklava,7,7,6,0,N/A,N/A,0
the witch can chew the doughnuts,the can not the the,6,6,5,0,N/A,N/A,0
a student must hide the cookies,a student must hide,6,6,4,0,0,0,1
albus may eat a souffle since snape may chew the cookie since fred can sprinkle the croissants,albus may arrange the baklava,17,17,5,0,0,0,1
since draco should create many chocolates the wizard can sprinkle many pancakes that a professor may eat,mcgonagall can gobble a pancake that a student can eat,17,17,10,0,0,0,1
since neville may create the strudels hermione must prepare the souffle since vernon should arrange the strudels,the can arrange the strudels,17,17,5,0,N/A,N/A,0
hagrid may assemble the baklava,hagrid may assemble the baklava,5,5,5,1,1,1,1
george should create the doughnuts,george may make the strudels,5,5,5,0,1,0,1
ron should hide the croissant,ron should hide the baklava,5,5,5,0,1,0,1
neville must hide a cookie,neville must assemble a cake,5,5,5,0,1,0,1
the witch may run since mcgonagall must prepare a eclaire,the professor may chew the pancake,10,10,6,0,0,0,1
because albus should run because sirius must sprinkle the croissant which the student should hide harry may chew the cake,because a professor should eat the baklava,20,20,7,0,0,0,1
lily should jump since sirius should eat a croissant which lupin must prepare because a wizard should create the eclaire,a professor should chew a eclaire,20,20,6,0,0,0,1
because a student must prepare a strudel that harry should hide ron may arrange a doughnut that he can eat,because a professor can chew the baklava that can can chew the cakes that he can eat,20,20,17,0,N/A,N/A,0
since james should hide the baklava which sirius may make she may gobble the croissant which a professor can make,since a professor can chew,20,20,5,0,0,0,1
since albus must eat the baklava that hermione may gobble neville must sprinkle a eclaire that the wizard should hide,since george must gobble the chocolates that hermione must hide,20,20,10,0,0,0,1
since neville must jump a wizard can assemble the baklava,neville must assemble the baklava which neville must assemble,10,10,9,0,0,0,1
she may prepare a doughnut which ron must arrange,she must chew a chocolate that she must chew,9,9,9,0,0,0,1
lily must chew the cookie that lupin must hide,lupin must create the cookies that lupin must create,9,9,9,0,0,0,1
draco must prepare a chocolate that albus can chew,draco must eat a pancake,9,9,5,0,0,0,1
neville may jump since hagrid may chew the eclaires,neville may assemble the baklava,9,9,5,0,0,0,1
hagrid must hide a chocolate that snape should prepare,hagrid may prepare a pancake,9,9,5,0,0,0,1
petunia should prepare many croissants,petunia should hide the baklava,5,5,5,0,1,0,1
hermione may eat the souffles,hermione may gobble the baklava,5,5,5,0,1,0,1
ron must prepare many strudels,ron may gobble the baklava,5,5,5,0,1,0,1
albus may assemble the eclaire,albus may gobble the baklava,5,5,5,0,1,0,1
a student must prepare the croissant that hagrid must eat,a student must chew a pancake that a student must chew,10,10,11,0,0,1,1
the professor may make the baklava which petunia must sprinkle,the professor must hide the baklava which dobby must not,10,10,10,0,N/A,N/A,0
the professor must swim,the professor must chew the pancake,4,4,6,0,0,0,1
vernon must arrange the eclaire,vernon must assemble a baklava,5,5,5,0,1,0,1
neville may create the strudels,the strudels,5,5,2,0,N/A,N/A,0
harry can eat the eclaire,the can gobble the the can not create the strudels,5,5,10,0,N/A,N/A,0
ginny may arrange a eclaire,ginny may arrange a eclaire,5,5,5,1,1,1,1
ginny should chew a eclaire,ginny should arrange a croissant,5,5,5,0,1,0,1
voldemort can party,voldemort can hide,3,3,3,0,1,0,1
dobby may party,dobby may not,3,3,3,0,N/A,N/A,0
neville must laugh,neville must giggle,3,3,3,0,1,0,1
ron should swim,ron should hide,3,3,3,0,1,0,1
he should party,he should hide,3,3,3,0,1,0,1
because snape may gobble the chocolate the witch must walk,because the must hide the baklava,10,10,6,0,N/A,N/A,0
because she must wiggle sirius may eat the cakes that a student should make,because a professor should chew a cake that a professor should chew a cookie,14,14,14,0,N/A,N/A,0
ginny must assemble a baklava,ginny must assemble a baklava,5,5,5,1,1,1,1
petunia must assemble the cookies,petunia must gobble the cookies,5,5,5,0,1,0,1
fred can arrange the cookies,the can can the,5,5,4,0,N/A,N/A,0
albus must arrange a eclaire,albus must create a cake,5,5,5,0,1,0,1
a witch should eat the chocolate that the professor should chew because a student should gobble the baklava,the should assemble the baklava,18,18,5,0,N/A,N/A,0
because she can hide the cookies which voldemort must make draco may giggle since ginny can hiccup,because the professor can gobble the baklava that dobby must not gobble the strudel,17,17,14,0,N/A,N/A,0
hagrid must assemble the chocolate that mcgonagall should arrange,hagrid must chew the pancake,9,9,5,0,0,0,1
petunia should arrange a croissant that she can sprinkle,petunia should sprinkle the baklava,9,9,5,0,0,0,1
since ron can hide the cakes lupin must run,lupin must create the cookies,9,9,5,0,0,0,1
draco may hide the strudels that sirius should make,sirius should make a pancake,9,9,5,0,0,0,1
fred must hide the strudels that snape can eat,snape can eat the pancakes that snape can not arrange the pancakes,9,9,12,0,N/A,N/A,0
the professor should assemble the eclaires that george must eat,the professor should chew the cakes that the professor should chew,10,10,11,0,0,1,1
ginny should create the eclaires that she must chew,the should prepare the baklava that the student must create,9,9,10,0,N/A,N/A,0
the witch should wiggle since ron may jump,the professor should hide the baklava,8,8,6,0,0,0,1
a student may chew the cookie,a student may assemble a cookie,6,6,6,0,1,0,1
because a student may chew the croissants ginny should create the strudels which a professor can prepare,because a professor can chew a eclaire,17,17,7,0,0,0,1
since ginny may arrange the pancakes which she should gobble mcgonagall must gobble the eclaires,since the student must chew the cookies which the must assemble,15,15,11,0,N/A,N/A,0
dobby should assemble a cake because neville can arrange the cake since hagrid may swim,dobby should hide the baklava,15,15,5,0,0,0,1
the professor can chew a doughnut,the professor can make a chocolate,6,6,6,0,1,0,1
petunia may make a croissant which hermione must prepare,petunia must hide a cake,9,9,5,0,0,0,1
harry should eat a doughnut that neville must create,harry must create a cake,9,9,5,0,0,0,1
she can walk because ginny can create a doughnut,she may sprinkle the eclaire,9,9,5,0,0,0,1
draco must sprinkle a cookie,draco must assemble a pancake,5,5,5,0,1,0,1
vernon should create the chocolate,vernon should make the strudels,5,5,5,0,0,0,1
albus must chew many souffles,albus must chew the baklava,5,5,5,0,1,0,1
the student must chew the strudels which hermione must prepare,the professor must prepare the pancake,10,10,6,0,0,0,1
a professor can arrange the cakes which mcgonagall may chew,a student may eat the cakes,10,10,6,0,0,0,1
the professor may arrange a cake which fred must assemble,a professor must hide a baklava,10,10,6,0,0,0,1
since neville must gobble many chocolates voldemort must hide the strudels,neville must gobble the baklava,11,11,5,0,0,0,1
because vernon should arrange many doughnuts fred must assemble the doughnut,vernon should make the souffle,11,11,5,0,0,0,1
a witch must gobble a chocolate which a student must gobble,a must hide a strudel,11,11,5,0,N/A,N/A,0
since petunia can prepare a chocolate voldemort should prepare a eclaire,since voldemort may prepare a eclaire,11,11,6,0,0,0,1
petunia may gobble a souffle,petunia may gobble a doughnut,5,5,5,0,1,0,1
albus may create the eclaire,albus may sprinkle the strudels,5,5,5,0,0,0,1
a student may assemble a strudel which he can sprinkle,a student may sprinkle a eclaire that a student can sprinkle,10,10,11,0,0,1,1
because james may make a cake that hagrid should assemble a witch can chew the souffles which ron should hide,because a professor should chew the baklava that he must chew a cookie,20,20,13,0,N/A,N/A,0
since voldemort should prepare the cookie that sirius must prepare james may hide the cookies that a student should arrange,since voldemort must hide the pancake that he must chew,20,20,10,0,0,0,1
because ginny can run since a student should prepare the cookies vernon can assemble the baklava that voldemort must gobble,because must must chew the baklava that dobby must create the baklava,20,20,12,0,N/A,N/A,0
a professor must prepare the eclaire that hermione must arrange because he should gobble a cookie that neville should prepare,a should should prepare a cookie that should should prepare,20,20,10,0,N/A,N/A,0
a student must make the chocolates since a wizard must arrange the eclaire,a professor must make the baklava,13,13,6,0,0,0,1
petunia should hide a pancake since ron can eat a cookie which petunia may gobble,petunia should hide a cookie,15,15,5,0,0,0,1
mcgonagall should make the eclaire since mcgonagall may assemble many doughnuts which albus should eat,a professor may gobble the pancake that lupin may gobble,15,15,10,0,0,0,1
she may hide a souffle that ron should create since hagrid may make a cake,she may arrange a pancake,15,15,5,0,0,0,1
because a professor should giggle james may arrange many strudels which hagrid must sprinkle,because the student should hide the baklava which he must not chew the baklava that he must chew,14,14,18,0,N/A,N/A,0
since she may walk fred should laugh since the wizard may giggle,since voldemort may prepare the eclaire,12,12,6,0,0,0,1
a professor must gobble the strudels since ron can eat many pancakes,since a professor may gobble the eclaire,12,12,7,0,0,0,1
ginny should chew the souffles because the wizard may assemble the eclaire,ginny should assemble the baklava,12,12,5,0,0,0,1
hermione must eat the croissants,hermione must chew the baklava,5,5,5,0,1,0,1
hermione must arrange a doughnut,hermione must chew a strudel,5,5,5,0,1,0,1
ron must chew the souffles,ron must assemble,5,5,3,0,0,0,1
hagrid should chew the cookie,hagrid should hide the baklava,5,5,5,0,1,0,1
sirius must gobble the pancakes,sirius must gobble the pancakes,5,5,5,1,1,1,1
he may gobble the baklava that petunia must arrange,he must chew the cakes,9,9,5,0,0,0,1
he can hide a strudel that voldemort should prepare,he must chew a pancake,9,9,5,0,0,0,1
george may hide the pancakes since vernon must wiggle,george must hide the baklava,9,9,5,0,0,0,1
vernon should create many strudels which ron can sprinkle,vernon should sprinkle the chocolates,9,9,5,0,0,0,1
voldemort can hide a pancake that hermione should make,voldemort should hide a croissant,9,9,5,0,0,0,1
albus should chew the pancake because lily must giggle,albus should chew the baklava,9,9,5,0,0,0,1
albus must eat the cookies which vernon must chew,vernon must chew the strudel which must must make,9,9,9,0,N/A,N/A,0
ron may sprinkle a pancake which james should arrange,ron must assemble a cake,9,9,5,0,0,0,1
because neville should assemble the souffle sirius can hiccup,because he can hide the baklava which he can gobble the baklava,9,9,12,0,N/A,N/A,0
since harry can sprinkle the strudels harry can swim,the can can sprinkle the strudels,9,9,6,0,N/A,N/A,0
neville must sprinkle the baklava,neville may assemble the baklava,5,5,5,0,1,0,1
neville should assemble the pancakes,neville should assemble the baklava,5,5,5,0,1,0,1
albus must prepare the chocolates,albus may eat the chocolates,5,5,5,0,1,0,1
snape can sprinkle the pancakes,the can can the the,5,5,5,0,N/A,N/A,0
because ginny can jump mcgonagall should gobble a cookie which the student can sprinkle since voldemort must prepare the souffle,because the student can hide the baklava,20,20,7,0,0,0,1
because neville should prepare a croissant which dobby may make a professor should arrange a chocolate that she can chew,because a professor can chew the baklava which a student can chew a cookie,20,20,14,0,N/A,N/A,0
a student may prepare the baklava,a student can hide the baklava,6,6,6,0,1,0,1
hagrid should make the cookies,hagrid should prepare the pancake,5,5,5,0,0,0,1
draco should make a baklava,draco should make a cake,5,5,5,0,0,0,1
james can chew a doughnut,james can make a cookie,5,5,5,0,1,0,1
she should assemble the strudels,she should gobble the strudels,5,5,5,0,1,0,1
because james must create the eclaire neville can chew the souffle that the professor may eat,because may may eat the cakes that hermione may not eat the cakes that he may gobble,16,16,17,0,N/A,N/A,0
since she must gobble a strudel since george may wiggle the witch may eat the souffles,since voldemort may prepare the baklava,16,16,6,0,0,0,1
snape must chew many baklava which a professor can sprinkle,snape must chew a baklava,10,10,5,0,0,0,1
a witch may make the croissants that george should prepare,a professor should prepare,10,10,4,0,0,0,1
petunia should assemble many pancakes that a professor may hide,petunia should hide a baklava,10,10,5,0,0,0,1
neville can eat the cake because a student should walk since the professor should chew the cakes which the student must prepare,because a professor should chew a cookie which a student should create a cookie that neville should create a cookie that neville should create,22,22,24,0,N/A,N/A,0
since petunia must create the souffle snape must arrange a eclaire because james must chew the baklava which vernon must sprinkle,since voldemort may prepare the baklava that may not chew the baklava,21,21,12,0,N/A,N/A,0
lupin should arrange the baklava that the witch must hide,lupin must hide the souffles that lupin must chew,10,10,9,0,0,1,1
the professor can hiccup since ginny should arrange the strudels,the can not the the,10,10,5,0,N/A,N/A,0
snape should hide the cakes that fred should eat,snape should hide,9,9,3,0,0,0,1
lupin must prepare the cookies which draco must assemble,lupin must assemble the strudel,9,9,5,0,0,0,1
she must gobble the doughnut which fred should create,she must chew,9,9,3,0,0,0,1
ginny should assemble many croissants which she can create,ginny should hide the souffles,9,9,5,0,0,0,1
hermione should hide the chocolates because albus must hiccup,because the must arrange the baklava that must must chew the baklava that must must create the chocolates that he must create,9,9,22,0,N/A,N/A,0
a professor should gobble the eclaires which hagrid should arrange,hagrid should gobble the souffles,10,10,5,0,0,0,1
the witch can arrange the cake which fred should arrange,mcgonagall can make the pancakes which a student can not,10,10,10,0,N/A,N/A,0
because she can prepare the cake albus should prepare the cakes,because the student should create the cakes,11,11,7,0,0,0,1
draco must smile since the student should chew the baklava that he may create,draco may eat the cakes that draco may eat,14,14,9,0,0,0,1
because ginny can laugh the professor must sprinkle the cake that ginny may chew,because he must chew the baklava which he must chew the baklava that he must chew,14,14,16,0,N/A,N/A,0
a witch can gobble the strudels,lily can sprinkle the can arrange the strudels,6,6,8,0,N/A,N/A,0
a professor must sprinkle a chocolate,a professor must make a eclaire,6,6,6,0,1,0,1
a professor may make the souffle which she can prepare,a professor can eat the cookies which she can eat,10,10,10,0,0,0,1
voldemort must sprinkle the cakes that a professor may eat,voldemort should hide the pancake,10,10,5,0,0,0,1
a professor should party,a professor should hide a cake,4,4,6,0,0,0,1
snape should hide the souffles,snape should assemble the souffles,5,5,5,0,1,0,1
vernon may prepare a croissant,vernon may prepare a cake,5,5,5,0,1,0,1
draco can prepare the baklava,the can can the the can not,5,5,7,0,N/A,N/A,0
vernon must create a cookie,vernon must assemble a cake,5,5,5,0,1,0,1
harry may gobble the pancakes,harry may create the pancakes,5,5,5,0,1,0,1
albus can run since lily can smile,albus can walk,7,7,3,0,0,0,1
ron may create many croissants that the professor should hide,ron must hide,10,10,3,0,0,0,1
petunia should prepare a pancake that the witch must hide,since should should chew the baklava,10,10,6,0,N/A,N/A,0
lily must hide a souffle,lily must chew a eclaire,5,5,5,0,1,0,1
hagrid can gobble a cake,hagrid can make a chocolate,5,5,5,0,1,0,1
lupin can gobble a chocolate,a student can assemble a pancake,5,5,6,0,0,1,1
hermione can chew the souffles,hermione must chew the baklava,5,5,5,0,1,0,1
a professor should sprinkle the eclaires that she may prepare because voldemort may arrange a souffle,a professor may prepare a pancake that a may may prepare a cookie that a witch may prepare a cookie,16,16,20,0,N/A,N/A,0
draco should assemble the baklava that george should make since the wizard should make the pancake,draco should make the baklava,16,16,5,0,0,0,1
since snape may assemble the chocolate lily may gobble the eclaires which the witch should prepare,since may should prepare,16,16,4,0,N/A,N/A,0
ginny should chew a cake,ginny should arrange a croissant,5,5,5,0,1,0,1
petunia may make a cookie,petunia may make a cake,5,5,5,0,1,0,1
ron should create the eclaires,ron should gobble the baklava,5,5,5,0,1,0,1
sirius must prepare many eclaires,sirius must gobble,5,5,3,0,0,0,1
snape can create the eclaires,the can can the the can can create,5,5,8,0,N/A,N/A,0
petunia should make a eclaire that sirius may assemble,petunia should hide the baklava,9,9,5,0,0,0,1
mcgonagall may make many eclaires that ron should gobble,mcgonagall may gobble the souffles that he may gobble,9,9,9,0,0,0,1
snape should arrange the souffle which hermione must assemble,snape should assemble the baklava,9,9,5,0,0,0,1
hagrid can prepare the baklava that voldemort may gobble,the can assemble the croissants,9,9,5,0,N/A,N/A,0
harry should prepare the croissant that albus can hide,harry must create the eclaires,9,9,5,0,0,0,1
a student must gobble a chocolate,a student must a a student,6,6,6,0,N/A,N/A,0
a student can arrange a cookie,a student can a cookie,6,6,5,0,N/A,N/A,0
vernon may jump,vernon may prepare,3,3,3,0,1,0,1
vernon must walk,vernon must chew,3,3,3,0,1,0,1
vernon can wiggle,vernon can hide,3,3,3,0,1,0,1
she should laugh,she should laugh,3,3,3,1,1,1,1
lily may wiggle,lily may chew,3,3,3,0,1,0,1
because ron should assemble a strudel the professor should arrange the strudels,because the student should hide the baklava,12,12,7,0,0,0,1
harry may prepare many croissants since george must hide many doughnuts,harry must create a eclaire,11,11,5,0,0,0,1
because a witch should make a souffle snape must gobble the souffles,because the must hide the baklava which should must chew the baklava,12,12,12,0,N/A,N/A,0
dobby must hide the cakes which vernon must assemble,dobby must assemble the baklava,9,9,5,0,0,0,1
ginny must eat the eclaire which mcgonagall should arrange,ginny must prepare the pancake,9,9,5,0,0,0,1
harry can make a croissant that snape should chew,harry must prepare a eclaire,9,9,5,0,0,0,1
ginny must prepare the eclaires that hermione must hide,the must must chew the baklava that ginny must hide,9,9,10,0,N/A,N/A,0
he may arrange the cookies which voldemort should create,he may gobble the cakes,9,9,5,0,0,0,1
voldemort should gobble the croissant which a witch should sprinkle,voldemort may hide a cookie,10,10,5,0,0,0,1
sirius must chew many pancakes that a wizard must gobble,sirius must chew a chocolate,10,10,5,0,0,0,1
hermione can make many croissants,hermione must assemble,5,5,3,0,0,0,1
harry must sprinkle the cookies,harry must create the,5,5,4,0,N/A,N/A,0
dobby must prepare the eclaires,dobby should hide the baklava,5,5,5,0,1,0,1
petunia must make the eclaires,petunia must hide the baklava,5,5,5,0,1,0,1
he should create the cookie,the may prepare the cookie,5,5,5,0,N/A,N/A,0
the professor must sprinkle the baklava,the professor can hide the baklava,6,6,6,0,1,0,1
the witch should sprinkle the baklava,the can hide the croissants,6,6,5,0,N/A,N/A,0
because voldemort must prepare a cookie which a wizard must sprinkle harry can chew the strudels that hagrid can prepare,because the can sprinkle the souffles,20,20,6,0,N/A,N/A,0
since the witch must make the pancake which a wizard may hide because a student should laugh ron can party,since voldemort must hide a croissant,20,20,6,0,0,0,1
because vernon should create the baklava that lupin should prepare the witch should eat the croissants that sirius must sprinkle,vernon should hide the souffle that vernon should chew,20,20,9,0,0,0,1
since james may create the baklava that neville can assemble sirius must hide the pancakes,neville can gobble the baklava that neville can assemble the baklava,15,15,11,0,N/A,N/A,0
ginny must assemble the souffles because george must arrange many baklava which he should gobble,ginny must hide the baklava,15,15,5,0,0,0,1
since hagrid must make the chocolates that neville must sprinkle ginny should chew a baklava,since george must chew a chocolate that a professor must chew,15,15,11,0,0,0,1
a professor may eat the souffles which the student should create,the student should hide the pancakes that the student should create,11,11,11,0,1,0,1
voldemort may prepare the strudel that the witch may gobble,voldemort may eat the cookies,10,10,5,0,0,0,1
he must create a baklava that the witch should create,he must chew,10,10,3,0,0,0,1
vernon may prepare a souffle which neville should hide,vernon may prepare the baklava,9,9,5,0,0,0,1
neville can walk,neville can walk,3,3,3,1,1,1,1
mcgonagall can wiggle,can can wiggle,3,3,3,0,N/A,N/A,0
george should hiccup,george should hide,3,3,3,0,1,0,1
james should party,james should hide,3,3,3,0,1,0,1
vernon must run,vernon must chew,3,3,3,0,1,0,1
a wizard can wiggle,a student can eat,4,4,4,0,1,0,1
the professor may hiccup,the may assemble the strudels,4,4,5,0,N/A,N/A,0
george must hiccup,george must not,3,3,3,0,N/A,N/A,0
the professor should chew a cake which lily must hide,a professor should chew a professor should chew a eclaire,10,10,10,0,N/A,N/A,0
lily may prepare many doughnuts because a witch may giggle,vernon may prepare a eclaire,10,10,5,0,0,0,1
a professor can assemble a baklava that the witch can make since snape may chew the cookies,a professor may prepare the baklava,17,17,6,0,0,0,1
a student can arrange the croissants which the witch must sprinkle,a student can chew the croissants,11,11,6,0,0,0,1
he may create the croissants,he may assemble the baklava,5,5,5,0,1,0,1
fred should prepare a pancake,fred should assemble a pancake,5,5,5,0,1,0,1
since albus should assemble the chocolates which the student may assemble voldemort must gobble the strudel,since the student must hide the baklava,16,16,7,0,0,0,1
