target,prediction,target length,correct,Preserves grammatical categories,Preserves Tree Structure,Preserves Significant Clauses,Negates Main Verb,Negates Target Verb
because hagrid must eat many souffles a wizard may not assemble the cookie because he must arrange the cakes,because hagrid must eat many souffles a wizard may not assemble the cakes because he must arrange the cookie,19,0,0,0,1,1,1
the professor should not create the souffles that a witch must arrange because draco may eat the pancake which a wizard may create,the professor should not create the souffles that a witch must arrange because the wizard may create the pancake which draco may eat,23,0,0,0,1,1,1
the witch must not chew the pancake that hermione should assemble since vernon must sprinkle a pancake which the professor should eat,the witch must not chew the pancake that hermione should assemble since vernon must sprinkle the pancake which a professor should eat,22,0,0,1,1,1,1
since george can hide the souffles since she must eat many strudels she should not giggle since he can laugh,since george can hide the souffles since she must eat many strudels she should not laugh since he can giggle,20,0,1,1,1,1,0
mcgonagall should not make a croissant which draco can arrange because snape must arrange the doughnuts that mcgonagall may eat,mcgonagall should not make a croissant which snape can arrange because draco must arrange the doughnuts which mcgonagall may eat,20,0,1,1,1,1,1
because mcgonagall can prepare the baklava that voldemort may gobble draco should not gobble the cake,because mcgonagall can gobble the baklava that voldemort may prepare draco should not gobble the cake,16,0,1,1,1,1,0
petunia should not prepare many chocolates which petunia should eat since the professor must chew the cookies which vernon must hide,petunia should not prepare many chocolates which petunia should create since the professor must hide the cookies which vernon must chew,21,0,1,1,1,1,1
since draco may sprinkle the baklava since a witch should assemble the eclaire which petunia must arrange dobby should not laugh,since draco may sprinkle the baklava since a witch should assemble the eclaire which dobby must arrange,21,0,0,N/A,N/A,N/A,0
because ginny should giggle because fred should eat the eclaires the witch may not create the doughnut that james should sprinkle,because ginny should giggle because fred should eat the eclaires the witch should not create the eclaires that james may sprinkle,21,0,0,0,1,1,1
since vernon may arrange the pancake which a witch can sprinkle dobby must not chew the chocolates which voldemort should eat,since vernon may arrange the pancake which a witch can sprinkle dobby must not chew the chocolates which james should eat,21,0,1,1,1,1,1
because a professor should prepare a eclaire since george must swim fred must not sprinkle the baklava which he should eat,because a professor should prepare a eclaire since ginny must swim george should not sprinkle the baklava since fred must eat,21,0,0,N/A,N/A,N/A,1
because lupin must assemble many doughnuts that lily may assemble dobby should not prepare the pancakes that neville should hide,because lupin must assemble many doughnuts that dobby may assemble lily should not prepare the pancakes that neville should hide,20,0,1,1,1,1,1
sirius should not sprinkle the pancake since the witch should gobble many cakes because a wizard can create the pancakes,sirius should not sprinkle the pancake since a witch should gobble many cakes the the wizard can create many pancakes,20,0,0,N/A,N/A,N/A,1
since ron must chew a eclaire she can not hide the cakes that a wizard should eat since a professor may laugh,since ron must chew a chocolate she can not hide the cookies since a wizard may assemble a baklava that a professor should eat,22,0,0,0,0,1,1
fred must not create the souffle because fred can assemble many pancakes that ginny must chew since sirius may create the doughnut,fred must not create the souffle since ginny can assemble many pancakes that fred must chew because sirius may create the doughnut,22,0,1,1,1,1,1
since neville should run mcgonagall should not sprinkle the eclaire that draco must assemble because ginny can jump,since neville should run mcgonagall should not sprinkle the eclaire that draco must assemble because ginny can run,18,0,1,1,1,1,1
snape must not make the doughnut that she can eat since harry may smile since he may arrange the cookie which she should sprinkle,snape must not make the doughnut that she can eat since harry may party since he may gobble the strudels,24,0,0,0,0,1,1
because fred can chew the souffles which he must chew snape can not laugh since hagrid should prepare the cakes that he must create,because fred can chew the souffles which he must chew snape can not assemble since hagrid should sprinkle the cakes since he must not jump,24,0,0,N/A,N/A,N/A,0
snape must not create the eclaire since hagrid may eat the baklava because he must hide the eclaires that voldemort may gobble,snape must not create the eclaire since hagrid may eat the baklava because he may hide the eclaires that voldemort may gobble,22,0,1,1,1,1,1
since a wizard can chew the chocolates mcgonagall must not prepare the eclaires since petunia must hide the croissants,since a wizard can chew the chocolates mcgonagall must not prepare the eclaires since the must hide the croissants,19,0,0,N/A,N/A,N/A,1
hagrid should not eat many cookies because albus can sprinkle the strudels that hagrid can hide,hagrid should not eat many strudels because neville can sprinkle the cookies that the professor can sprinkle,16,0,0,0,1,1,1
since the professor may create a strudel a student must not create the chocolates since ron must create the eclaires,since the professor may create a strudel ron must not create the cakes since a student must create the doughnut,20,0,0,0,1,1,0
since ginny may party hagrid must not assemble a pancake because she may prepare the souffle that she must eat,since ginny may party hagrid must not assemble a pancake because she may prepare the baklava that she must eat,20,0,0,0,1,1,1
he may not arrange the doughnuts that a witch may eat because he can hide a eclaire which harry can eat,he may not arrange the doughnuts that a witch may assemble because he can eat a eclaire which harry can hide,21,0,1,1,1,1,1
ginny must not chew a souffle that hagrid can eat since lupin should arrange the strudels that a wizard must chew,ginny can not chew a souffle that hagrid must eat since lupin should arrange the strudels that a wizard must chew,21,0,1,1,1,1,1
because sirius must make many souffles that hermione can hide george must not make the baklava since a wizard may wiggle,because sirius can make many baklava that lily must hide the witch must not make many souffles since a wizard may wiggle,21,0,0,0,1,1,0
harry may not hide the chocolate since a professor may eat a croissant because vernon should assemble many strudels,harry may not hide the chocolate since a professor may eat a souffle because vernon should assemble many doughnuts,19,0,1,1,1,1,1
because lupin should prepare the baklava which the wizard can assemble petunia should not assemble the baklava which she can assemble,because lupin should prepare the baklava which the wizard can assemble she should not assemble the baklava which petunia can assemble,21,0,0,0,1,1,0
since lily should gobble the pancake that petunia must eat she should not hide the doughnuts which neville should arrange,since lily should gobble the pancake that she must eat petunia should not hide the doughnuts which neville should arrange,20,0,0,0,1,1,1
because draco should make the croissants that she can eat hermione should not hide the cake that fred may make,because draco should make the croissants that she can eat fred should not chew the cake that hermione may eat,20,0,1,1,1,1,0
vernon can not wiggle since a witch can assemble a strudel because a professor can hiccup,vernon can not wiggle because a witch can assemble a strudel since a professor can swim,16,0,1,1,1,1,1
since lily may walk harry must not eat the cookie which hermione can hide since george may hide the eclaire that hagrid should create,since lily may walk harry must not eat the cookie that george can hide since hermione may create the chocolate,24,0,0,0,0,1,1
because he must prepare a doughnut that a wizard can chew the wizard should not wiggle since a wizard can gobble the strudels,because he must prepare a doughnut that a wizard can chew the wizard should not wiggle since the wizard can gobble the strudels,23,0,0,1,1,1,1
she must not assemble the doughnut since albus should create the chocolates that ron must assemble because a witch must hide the cake,she must not assemble the doughnut since albus should create the chocolates that ron must create because a witch must prepare the cake,23,0,1,1,1,1,1
since lupin should arrange the eclaires albus may not hide the croissants that ron must make since dobby should hide the baklava,since lupin should arrange the eclaires albus may not hide the croissants that ron must chew since dobby should eat the baklava,22,0,1,1,1,1,1
the student can not gobble a eclaire which voldemort must hide because she should arrange many cakes that a student should hide,the student can not gobble a eclaire which she must hide because voldemort should arrange many cakes that a student should hide,22,0,0,0,1,1,1
because albus can make the croissants she can not prepare the souffle since lily can prepare the chocolates,because albus can make the croissants she can not prepare the souffle since lily can prepare the baklava,18,0,1,1,1,1,1
because the wizard may hide a croissant which she must gobble george may not eat the cakes which the student should prepare,because the wizard may gobble a croissant which she must eat george may not gobble the cakes which the student should prepare,22,0,1,1,1,1,0
lupin should not assemble the cookies because snape must make a cookie that dobby must gobble because snape must hide the chocolate,lupin should not assemble the cookies because snape must make a cookie that dobby must gobble because snape must eat the chocolate,22,0,1,1,1,1,1
since the professor can gobble the eclaires since lily must make a pancake that voldemort should hide she must not hiccup,since the professor can gobble the eclaires since lily must make a pancake that george should hide lily must not hiccup,21,0,0,0,1,1,1
since hagrid may assemble the baklava which she may sprinkle harry must not eat the doughnuts that a professor should gobble,since hagrid may assemble the baklava which she may sprinkle she must not eat the doughnuts that a student should gobble,21,0,0,0,1,1,1
hermione may not make a baklava that draco may prepare because the professor can arrange the strudel that dobby may hide,hermione may not make a baklava that draco may arrange because the professor can prepare the strudel that dobby may hide,21,0,1,1,1,1,1
since draco may prepare the strudels that she may eat dobby can not make the eclaire that hagrid may chew,since draco may prepare the strudels that dobby may eat she can not make the eclaire that hagrid may chew,20,0,0,0,1,1,1
albus can not prepare many croissants which harry may hide because hagrid may create many souffles that james must hide,albus can not prepare many croissants which harry may hide because sirius may create many souffles that neville must hide,20,0,1,1,1,1,1
he should not hide the eclaire which draco can chew because fred must make the souffles that harry must arrange,he should not hide the eclaire which draco can chew because fred must arrange the souffles that harry must make,20,0,1,1,1,1,1
since he can hide the chocolates ron must not walk since sirius may make the souffle which fred must chew,since he can hide the chocolates snape may not walk since draco must make the souffle which ginny may chew,20,0,1,1,1,1,1
since mcgonagall can create the eclaires which a witch can assemble he must not prepare many cakes that he must assemble,since mcgonagall can create the eclaires which a student can assemble lily must not prepare many cakes that he must assemble,21,0,0,0,1,1,1
because ginny must prepare the cake which a professor can hide voldemort may not sprinkle the baklava that james must arrange,because ginny can prepare the cake which a professor must hide voldemort may not sprinkle the baklava that voldemort must arrange,21,0,1,1,1,1,1
since the witch may party voldemort can not hide the cakes that he must arrange because fred should walk,since the witch may party voldemort can not hide the baklava that he should arrange because fred must run,19,0,1,1,1,1,1
since lily can gobble many croissants that the professor must sprinkle a student must not make the cakes,since lily can gobble many croissants that a professor must sprinkle the student must not make the cakes,18,0,0,1,1,1,1
because the witch should gobble many croissants which a professor must hide neville may not arrange the pancake,because the witch should gobble many croissants which a student must hide sirius may not arrange the pancake,18,0,1,1,1,1,1
the student must not gobble the eclaires because snape may jump because hermione can assemble the souffle,the student must not gobble the eclaires because snape may jump because the wizard can assemble the souffle,17,0,0,0,1,1,1
because a wizard may arrange the baklava that lily can prepare james must not chew a doughnut because hagrid may create the strudel,because a wizard may arrange the baklava that james can chew lily must not prepare a cake because hagrid may create the eclaire,23,0,1,1,1,1,0
draco must not arrange a cookie that dobby can make since the student must assemble the strudels since petunia must create the cakes,draco must not arrange the cookie that dobby can make since a student must assemble the cakes since ron must create the strudels,23,0,0,1,1,1,1
because she can make the strudel because the wizard can create a cookie vernon can not wiggle since vernon can create many doughnuts,because she can make the strudel because vernon can create a cookie vernon can not wiggle because the wizard can create many doughnuts,23,0,0,0,1,1,1
since lupin must hide a chocolate sirius may not gobble the baklava since james may arrange the doughnut which albus may gobble,since lupin must hide a chocolate sirius may not arrange the baklava since james may gobble the doughnut which albus may gobble,22,0,1,1,1,1,0
lily should not eat many pancakes which harry should prepare since a professor must eat the eclaire because neville should run,lily should not eat many pancakes which george should prepare since a student must eat the pancakes which harry should arrange,21,0,0,0,0,1,1
she should not arrange a doughnut because hermione should prepare a baklava that ginny may sprinkle,she should not arrange a doughnut because ginny should prepare a baklava that hermione may sprinkle,16,0,1,1,1,1,1
because hagrid should chew the doughnut snape may not smile since sirius can eat the doughnut that mcgonagall may arrange,because hagrid should chew the doughnut snape may not smile since sirius can eat the cake that mcgonagall may arrange,20,0,1,1,1,1,1
because james must create the pancakes that hermione must gobble draco must not eat the cakes which lily must arrange,because james must create the pancakes that hermione must gobble lily must not eat the cakes which draco must arrange,20,0,1,1,1,1,1
ginny should not make a baklava which dobby must gobble because vernon should party because neville may prepare the pancake,ginny should not make a baklava which dobby must gobble because vernon should party because fred may prepare the pancake,20,0,1,1,1,1,1
since sirius can arrange a cookie hagrid should not hide many baklava because lily must hide the doughnut that snape must sprinkle,since sirius can arrange a cookie hagrid should not hide many baklava because lily must sprinkle the doughnut that snape must hide,22,0,1,1,1,1,1
since mcgonagall should make the strudel he can not eat the souffle since albus should prepare the cookies which snape should chew,since mcgonagall should make the strudel he can not eat the souffle since albus should prepare the strudels which snape should chew,22,0,1,1,1,1,1
because hagrid must prepare the baklava that snape should assemble since neville can wiggle fred can not hiccup,because hagrid must prepare the baklava that snape should chew since neville can jump fred can not hiccup,18,0,1,1,1,1,1
because the wizard should arrange a souffle a student can not swim because sirius must arrange the souffle,because the wizard should arrange a souffle a student can not arrange because sirius must prepare the souffle,18,0,0,N/A,N/A,N/A,0
since mcgonagall should create a souffle which a professor must assemble george can not make the cookie since sirius must walk,since mcgonagall should create a souffle which a professor must assemble since george can make the cookie sirius must not walk,21,0,0,0,0,1,0
lily can not prepare the doughnuts that ron should assemble since draco can create the chocolates since a student must laugh,lily can not prepare the doughnuts that mcgonagall should assemble since the student can laugh since draco must create the chocolates,21,0,0,0,0,1,1
albus should not create the croissant that vernon can arrange because ron can eat the cookie that the witch may prepare,albus should not create the croissant that ron can arrange because vernon can eat the cookie that the witch may prepare,21,0,1,1,1,1,1
hagrid can not assemble the baklava which she should hide because lupin may gobble a cake because hagrid must laugh,hagrid can not assemble the baklava because she should hide a pancake that lupin may gobble because hagrid must laugh,20,0,0,0,0,1,1
since dobby may assemble a souffle that dobby may gobble voldemort should not arrange many strudels that harry may eat,since dobby may assemble a souffle that dobby may arrange voldemort should not gobble many strudels that harry may eat,20,0,1,1,1,1,0
since she can eat the doughnut that petunia should hide a professor can not hide a cake which hagrid may sprinkle,since she can eat the doughnut that petunia should hide a professor can not sprinkle a cake which hagrid may hide,21,0,1,1,1,1,0
because lily should swim because snape must hide the doughnut that he must eat hermione may not hide a strudel,because lily should swim because lily must hide the doughnut that ron must eat he may not hide a strudel,20,0,0,0,1,1,0
since the professor must prepare the cookies that mcgonagall can eat petunia must not create the pancake,since the professor can prepare the cookies that mcgonagall must eat petunia must not create the pancake,17,0,1,1,1,1,1
because voldemort may laugh a professor may not make the souffles that ron must create because neville must create a cake,because voldemort may make a cookie ron may not create the cake that a professor must make because neville must create many souffles,21,0,0,0,0,1,0
petunia may not hide the cookies which voldemort must assemble because dobby should make the cake which george should hide,petunia may not hide the cookies which voldemort must assemble because george should make the cake which dobby should hide,20,0,1,1,1,1,1
since harry should assemble the chocolates she should not make a cookie which sirius should create since hagrid must smile,since harry should assemble the chocolates she should not make the cookie which sirius should create since a professor must smile,20,0,0,0,1,1,1
since draco can jump snape may not make the pancakes since james must gobble many strudels which james should make,since draco can jump james may not make the pancakes since snape should gobble many strudels which james must make,20,0,1,1,1,1,1
a wizard may not create a doughnut that draco must sprinkle since vernon may assemble a cake that george must arrange,a wizard may not create a doughnut that draco must sprinkle since harry may assemble a cake that draco must arrange,21,0,1,1,1,1,1
since neville should create the strudel which a student should sprinkle vernon may not chew a souffle since mcgonagall may party,since neville should create the strudel which a student should chew vernon may not sprinkle a souffle which mcgonagall may hide,21,0,0,0,0,1,0
because lily must eat the cake that mcgonagall should gobble voldemort may not gobble the doughnut since lily may laugh,because lily must eat the cake that lily should gobble voldemort may not gobble the doughnut since snape may laugh,20,0,1,1,1,1,0
because the wizard can gobble the eclaire which a professor can gobble snape can not hide the baklava which the wizard should gobble,because the wizard can gobble the eclaire which a professor can gobble snape can not gobble the baklava which the wizard should gobble,23,0,1,1,1,1,0
since a student should hide the strudels fred may not eat the strudels which george must make because harry must create a baklava,since a student should hide the strudels fred may not eat the strudels which george must make because george must create a baklava,23,0,1,1,1,1,1
since hagrid can chew a cake that lupin should prepare because ginny should eat many pancakes albus may not hide a eclaire,since hagrid can chew a cake that lupin should prepare because ginny should assemble many pancakes that albus may eat a ginny should hiccup,22,0,0,N/A,N/A,N/A,0
because she may sprinkle the doughnuts albus can not gobble the eclaire since harry should gobble the baklava,because she may sprinkle the doughnuts albus can not gobble the chocolate since harry should gobble the baklava,18,0,1,1,1,1,1
