Target Sentence,Predicted Sentence,Source Length,Target Length,Prediction Length,Correct Transformation,Parseable,Preserves Identical Tree Structure,"Preserves Significant Clauses (S, AdvP, RelP)",Negates Main Clause,Has Main Clause,Negates Main Clause,Negates Outside of Main Clause,Has Target Verb,Negates Target Verb
"['because george may assemble the pancake that the witch must sprinkle harry can not wiggle', 'because petunia may not assemble the pancake that the student should assemble the pancake that the student should assemble', 14, 15, 19, 0, 0, 'N/A', 'N/A', 0, 0, 0, 0, 0]"
"['since ron should prepare the cookies snape can not swim because vernon should eat the cakes which snape can assemble', 'since should not prepare the cookies which the can because the cookies because the cookies because the cookies because the cookies', 19, 20, 21, 0, 0, 'N/A', 'N/A', 0, 0, 0, 0, 0]"
"['since neville must gobble the doughnut that petunia may make hermione can not chew a pancake since james must smile', 'since neville must not gobble the doughnut that the professor must gobble the doughnut that the professor must gobble', 19, 20, 19, 0, 0, 'N/A', 'N/A', 0, 0, 0, 0, 0]"
"['since fred must sprinkle the eclaires since vernon must eat the eclaire voldemort can not create the croissant that he must gobble', 'since must not sprinkle the eclaires that she can sprinkle the eclaires that she can sprinkle', 21, 22, 16, 0, 0, 'N/A', 'N/A', 0, 0, 0, 0, 0]"
"['since a student can arrange a cookie lily must not party because neville can make the croissants because the professor should walk', 'since a can not make a croissants that she should create the croissants because the student must gobble the croissants', 21, 22, 20, 0, 0, 'N/A', 'N/A', 0, 0, 0, 0, 0]"
"['since he should assemble the pancake fred can not gobble the doughnut because she should arrange the cookies that hagrid must assemble', 'since he should not assemble the pancake that mcgonagall should assemble the cookies that mcgonagall should gobble', 21, 22, 17, 0, 0, 'N/A', 'N/A', 0, 0, 0, 1]"
"['because ginny should arrange many cakes that hermione can hide since he should assemble a eclaire hermione can not make a cookie', 'because ginny should not arrange many cakes that a should arrange many cakes that petunia should assemble', 21, 22, 17, 0, 0, 'N/A', 'N/A', 0, 0, 0, 0, 0]"
"['since petunia can arrange the cakes that a wizard should assemble mcgonagall should not create the eclaires that snape must eat', 'since can not arrange the cakes that snape can arrange the cakes that the should arrange', 20, 21, 16, 0, 0, 'N/A', 'N/A', 0, 0, 0, 0, 0]"
"['since hagrid should hide many croissants lily must not assemble the strudels which draco should chew', 'since should not hide many strudels which the student should hide', 15, 16, 11, 0, 0, 'N/A', 'N/A', 0, 0, 0, 0, 0]"
"['since the professor can walk ginny may not eat a doughnut which a professor can create', 'since the professor can not walk ginny can sprinkle a strudel which the student must walk', 15, 16, 16, 0, 1, 0, 1, 1, 1, 0, 0]"
"['because vernon should sprinkle the strudels which he must create voldemort may not chew the cakes', 'because she should sprinkle the strudels which a student should sprinkle', 15, 16, 11, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
"['because mcgonagall must make the cookies petunia may not prepare the chocolate that fred should hide', 'because she must make the professor may arrange the chocolate that fred may prepare', 15, 16, 14, 0, 1, 0, 0, 1, 1]"
"['because lily must gobble the cakes voldemort should not prepare a souffle', 'because she must not gobble the cakes voldemort must make', 11, 12, 10, 0, 1, 0, 0, 1, 1, 0, 0]"
"['since hermione must make the cookies vernon may not assemble the chocolate', 'since hermione must not assemble the cookies', 11, 12, 7, 0, 1, 0, 0, 0, 0, 1, 1, 1]"
"['since harry must hide the eclaires the student may not prepare the chocolates that the student can prepare', 'since must not hide the eclaires that the student must hide the chocolates that the wizard may hide', 17, 18, 18, 0, 0, 'N/A', 'N/A', 0, 0, 0, 0, 0]"
"['since the witch must make a croissant which mcgonagall should sprinkle the witch may not hide a doughnut', 'since witch must not sprinkle the croissant which mcgonagall must sprinkle the witch should sprinkle the cake which mcgonagall must sprinkle', 17, 18, 21, 0, 0, 'N/A', 'N/A', 0, 0, 0, 0, 0]"
"['since the professor should eat many chocolates which he can create the student must not gobble a eclaire', 'since the professor should not eat many chocolates which the student should eat many chocolates which the student should eat', 17, 18, 20, 0, 0, 'N/A', 'N/A', 0, 0, 0, 0, 0]"
"['since the wizard can smile voldemort can not chew a pancake which a professor must create', 'since james can not gobble the chocolates which the student must gobble', 15, 16, 12, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
"['since draco can sprinkle the croissant albus must not assemble the eclaire that voldemort should make', 'since draco can not sprinkle the croissant that ginny must sprinkle', 15, 16, 11, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
"['because hagrid must chew the baklava vernon must not party', 'because hagrid must not prepare the croissants because vernon must chew the baklava', 9, 10, 13, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
"['because petunia must swim vernon may not hide the strudels', 'because petunia must eat the strudels because neville can hide the strudels', 9, 10, 12, 0, 1, 0, 0, 0, 0, 0, 1]"
"['since lupin must assemble many eclaires lupin must not giggle', 'since must not assemble many chocolates lupin should assemble many chocolates', 9, 10, 11, 0, 0, 'N/A', 'N/A', 0, 0, 0, 0, 0]"
"['since hermione must sprinkle a baklava ron should not party', 'since hermione must not party since ron should not party', 9, 10, 10, 0, 1, 0, 0, 0, 0, 1, 1, 1]"
"['because albus may prepare a souffle hermione should not chew many cookies', 'because albus may not many croissants', 11, 12, 6, 0, 0, 'N/A', 'N/A', 0, 0, 0, 0, 0]"
"['because ron should prepare the chocolates fred can not hide the strudel', 'because should not hide the strudel', 11, 12, 6, 0, 0, 'N/A', 'N/A', 0, 0, 0, 1, 1]"
"['since she may make the eclaire ginny must not arrange the doughnut', 'since she may not make the eclaire', 11, 12, 7, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
"['since fred can assemble a strudel he should not arrange a chocolate', 'since fred can not assemble a chocolate which a professor can assemble a chocolate', 11, 12, 14, 0, 0, 'N/A', 'N/A', 0, 0, 0, 0, 0]"
"['because vernon must create the souffle since ron should sprinkle the croissants hagrid may not run', 'because must vernon must eat the souffle ron can sprinkle the souffle', 15, 16, 12, 0, 0, 'N/A', 'N/A', 0, 0, 0, 0, 0]"
"['since voldemort may eat the strudels george must not gobble many pancakes which albus should hide', 'voldemort may not gobble many strudels which james may gobble', 15, 16, 10, 0, 1, 0, 0, 1, 1, 1, 1]"
"['because ron can create the strudels harry may not eat the cookie which harry should prepare', 'because can not create the strudels which a student should assemble the strudels which a student should prepare', 15, 16, 18, 0, 0, 'N/A', 'N/A', 0, 0, 0, 0, 0]"
"['because mcgonagall can make the chocolate that ron can create albus should not sprinkle a pancake', 'because can not make the chocolate that ron may arrange the chocolate that ron may arrange', 15, 16, 16, 0, 0, 'N/A', 'N/A', 0, 0, 0, 0, 0]"
"['since harry can make a cake because harry may prepare the cookie harry must not smile', 'harry must not prepare the cookie because harry may prepare the cookie because harry may prepare', 15, 16, 16, 0, 1, 0, 0, 1, 1, 0, 0]"
"['since he must gobble the cake james should not party', 'since must not gobble the croissants since james should gobble the souffles', 9, 10, 12, 0, 0, 'N/A', 'N/A', 0, 0, 0, 0, 0]"
"['because mcgonagall should swim sirius must not chew the cookies', 'because should not swim sirius must assemble the cookies', 9, 10, 9, 0, 0, 'N/A', 'N/A', 0, 0, 0, 0, 0]"
"['because neville should make the chocolate hagrid may not laugh', 'because neville should not make the chocolate hagrid should arrange the chocolate', 9, 10, 12, 0, 1, 0, 0, 1, 1, 0, 0]"
"['since dobby may chew the chocolate ron must not hide the cakes', 'since may not chew the chocolate ron may chew the chocolate', 11, 12, 11, 0, 0, 'N/A', 'N/A', 0, 0, 0, 0, 0]"
"['because lily can smile because snape should sprinkle the strudels that george can prepare george may not arrange the eclaire', 'because lily can not sprinkle the eclaire that ginny should arrange', 19, 20, 11, 0, 1, 0, 0, 0, 0, 1, 1]"
"['because lupin must create the strudels that ron must make the student should not gobble the doughnuts', 'because must must gobble the doughnuts that ron must create the doughnuts that ron must gobble the doughnuts', 16, 17, 18, 0, 0, 'N/A', 'N/A', 0, 0, 0, 1]"
"['because petunia may chew a doughnut that the witch should arrange mcgonagall should not prepare the cakes', 'because petunia may not prepare the eclaires that because mcgonagall must assemble the cakes that the professor must prepare', 16, 17, 19, 0, 0, 'N/A', 'N/A', 0, 0, 0, 1, 1]"
"['because hagrid can gobble many chocolates petunia must not chew the croissant that the witch may chew', 'because hagrid can not gobble many cakes that the professor must gobble', 16, 17, 12, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
"['since george may prepare the souffles the professor must not hide a cookie which sirius can make', 'since petunia may not prepare the souffles which the witch may prepare', 16, 17, 12, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
"['since he should prepare the eclaire he should not prepare the doughnut which he can chew', 'since he should not prepare the eclaire which the student must prepare', 15, 16, 12, 0, 1, 0, 0, 0, 0, 1, 1, 1]"
"['since she should create a doughnut hermione must not make a strudel which ron may arrange', 'since should not assemble a strudel which a professor may arrange a strudel which voldemort may arrange', 15, 16, 17, 0, 0, 'N/A', 'N/A', 0, 0, 0, 0, 0]"
"['because george may prepare the cakes he can not assemble the strudels that she must hide', 'because petunia may not assemble the cakes that ginny must create', 15, 16, 11, 0, 1, 0, 0, 0, 0, 1, 1, 1]"
"['because draco may prepare the eclaires which mcgonagall may prepare snape must not make the eclaires', 'because james may not prepare the eclaires which a witch should prepare', 15, 16, 12, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
"['since she may assemble the doughnuts that sirius should gobble neville should not chew the cookie', 'since she may not assemble the doughnuts that the professor may assemble the doughnuts that the professor may assemble the doughnuts', 15, 16, 21, 0, 0, 'N/A', 'N/A', 0, 0, 0, 0, 0]"
"['because a professor should wiggle hermione can not create many baklava that a witch should create', 'because a professor should not sprinkle a baklava that ginny should sprinkle', 15, 16, 12, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
"['because james should jump albus can not prepare the doughnut since draco should create the baklava that dobby must sprinkle', 'because should not prepare the doughnut that the should arrange', 19, 20, 10, 0, 0, 'N/A', 'N/A', 0, 0, 0, 1, 1]"
"['because hagrid should hide a doughnut that james should assemble because fred can giggle snape should not chew many strudels', 'because should should not many strudels that dobby should arrange because a professor should prepare many souffles that dobby should arrange', 19, 20, 21, 0, 0, 'N/A', 'N/A', 0, 0, 0, 0, 0]"
"['because james should sprinkle the cookie which snape must sprinkle petunia must not create the souffle since ginny should walk', 'because james should not sprinkle the cookie which a professor should sprinkle', 19, 20, 12, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
"['since he must sprinkle the pancakes that neville may gobble harry must not make the souffle that fred should chew', 'since must not sprinkle the pancakes that fred should sprinkle the chocolates that fred must sprinkle', 19, 20, 16, 0, 0, 'N/A', 'N/A', 0, 0, 0, 0, 0]"
"['since mcgonagall may eat many cakes hagrid must not sprinkle the souffles which lily must chew', 'since may not eat many souffles which fred must sprinkle', 15, 16, 10, 0, 0, 'N/A', 'N/A', 0, 0, 0, 1]"
"['because lupin should jump snape can not arrange the doughnut since mcgonagall may eat the strudel', 'because may not arrange the doughnut since lupin may arrange the doughnut since lupin may arrange the doughnut', 15, 16, 18, 0, 0, 'N/A', 'N/A', 0, 0, 0, 1, 1]"
"['because ginny must arrange a croissant that hagrid must chew neville should not sprinkle the baklava', 'because must not sprinkle the croissant that the student should sprinkle the baklava that hagrid must sprinkle', 15, 16, 17, 0, 0, 'N/A', 'N/A', 0, 0, 0, 1, 1]"
"['because mcgonagall must eat the baklava because albus can eat a eclaire a professor should not sprinkle a baklava because george should run', 'because she must not run the baklava because the wizard must run', 22, 23, 12, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
"['because a professor may create many cakes which the witch must chew lupin may not walk because a student can gobble the eclaires', 'because a professor should not gobble the eclaires which dobby can assemble a eclaires which dobby can assemble a eclaires which dobby can assemble', 22, 23, 24, 0, 0, 'N/A', 'N/A', 0, 0, 0, 0, 0]"
"['since ron must prepare the cookies which the wizard can sprinkle the wizard can not prepare the baklava that the student must create', 'since must not prepare the cookies which the student can sprinkle the baklava that the student must sprinkle', 22, 23, 18, 0, 0, 'N/A', 'N/A', 0, 0, 0, 1, 1]"
"['since a witch should chew a eclaire that james may prepare a professor may not gobble the chocolates which a professor should gobble', 'since witch should not make the chocolates that james may gobble the chocolates which a professor should gobble', 22, 23, 18, 0, 0, 'N/A', 'N/A', 0, 0, 0, 1]"
"['since mcgonagall must giggle lupin must not smile', 'since must not smile', 7, 8, 4, 0, 0, 'N/A', 'N/A', 0, 0, 0, 1, 1]"
"['because snape must gobble the doughnut that the witch can make mcgonagall must not swim', 'because snape must not gobble the doughnut that the should assemble the doughnut that the should assemble', 14, 15, 17, 0, 0, 'N/A', 'N/A', 0, 0, 0, 0, 0]"
"['since hermione must chew a chocolate that he should gobble sirius can not jump', 'since hermione must not smile since a student should assemble a chocolate that a wizard must assemble', 13, 14, 17, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
"['since draco should make the chocolates that the student must gobble voldemort can not create many strudels', 'since should not make the chocolates that the wizard can make', 16, 17, 11, 0, 0, 'N/A', 'N/A', 0, 0, 0, 0, 0]"
"['because the witch must sprinkle the chocolates lupin can not eat many doughnuts that snape should arrange', 'because must not sprinkle the chocolates that snape must sprinkle the doughnuts that snape must sprinkle', 16, 17, 16, 0, 0, 'N/A', 'N/A', 0, 0, 0, 0, 0]"
"['since a professor can sprinkle the croissants ginny can not sprinkle the souffles which she can chew', 'since a professor can not sprinkle the souffles which she must assemble since draco should sprinkle the souffles which the professor can sprinkle', 16, 17, 23, 0, 1, 0, 0, 0, 0, 1, 1, 1]"
"['since hermione must swim george must not assemble the baklava that dobby may assemble', 'since hermione must not assemble the baklava that dobby must assemble the baklava that the should create', 13, 14, 17, 0, 0, 'N/A', 'N/A', 0, 0, 0, 1, 1]"
"['since harry must create the croissants which sirius must eat fred must not run', 'since must not create the croissants which sirius must eat', 13, 14, 10, 0, 0, 'N/A', 'N/A', 0, 0, 0, 0, 0]"
"['because voldemort should smile ginny may not assemble the eclaires that draco can prepare', 'voldemort should not assemble the eclaires that because ginny should assemble the eclaires that ginny must assemble', 13, 14, 17, 0, 0, 'N/A', 'N/A', 0, 0, 0, 1, 1]"
"['since lupin can make a cookie that albus must arrange hagrid must not jump', 'since can not make a cookie that a student should chew a doughnut that a student can arrange', 13, 14, 18, 0, 0, 'N/A', 'N/A', 0, 0, 0, 0, 0]"
"['because lupin can arrange a strudel because snape must eat the chocolate hagrid should not gobble many baklava that lily must make', 'because snape can arrange many chocolate that hagrid should arrange many cakes that ginny should arrange', 21, 22, 16, 0, 0, 'N/A', 'N/A', 0, 0, 0, 0, 0]"
"['because albus can chew the strudel because dobby must chew the souffle that draco can hide lupin should not hide the croissants', 'because albus can not chew the strudel that a student may chew because strudel should arrange the strudel', 21, 22, 18, 0, 0, 'N/A', 'N/A', 0, 0, 0, 0, 0]"
"['since the witch should chew a croissant that ron can eat the professor may not prepare a baklava that she should hide', 'since witch should not chew a croissant that ron may hide', 21, 22, 11, 0, 0, 'N/A', 'N/A', 0, 0, 0, 0, 0]"
"['since hermione may arrange a baklava which a professor must create snape may not create the cake which the witch can prepare', 'since may not sprinkle a eclaire which the wizard can prepare', 21, 22, 11, 0, 0, 'N/A', 'N/A', 0, 0, 0, 0, 0]"
"['since a witch must assemble many cookies mcgonagall must not prepare a cake', 'since a witch must not assemble many cookies', 12, 13, 8, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
"['because a wizard can arrange the doughnuts draco can not create the souffle', 'because a wizard can not arrange the doughnuts because draco can arrange the souffle', 12, 13, 14, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
"['since mcgonagall can gobble a eclaire james may not hide a chocolate that she can chew', 'since mcgonagall can not gobble a eclaire that she must chew', 15, 16, 11, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
"['because snape should sprinkle a souffle neville must not hide many strudels that she must gobble', 'snape should not hide many cakes that ginny must eat', 15, 16, 10, 0, 1, 0, 0, 1, 1, 1, 1]"
"['since he must arrange the strudel that albus can create ginny may not make the strudels', 'since he must not arrange the strudel that neville may make the strudels', 15, 16, 13, 0, 0, 'N/A', 'N/A', 0, 0, 0, 1]"
"['since dobby can arrange many chocolates that james may gobble neville must not make many pancakes', 'since dobby can arrange many chocolates that james must eat', 15, 16, 10, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
"['because she should make a baklava that albus may assemble ron must not prepare many cakes', 'because should should prepare many baklava that ron must assemble many baklava that ron must prepare', 15, 16, 16, 0, 0, 'N/A', 'N/A', 0, 0, 0, 1]"
"['because james should eat many strudels hagrid should not hide the doughnuts', 'because james should not eat many chocolates hagrid should arrange the strudels', 11, 12, 12, 0, 1, 0, 1, 1, 1, 0, 0]"
"['since lily can make the chocolates ginny can not assemble the souffle', 'since can not assemble the souffle since the student can assemble the souffle', 11, 12, 13, 0, 0, 'N/A', 'N/A', 0, 0, 0, 1, 1]"
"['because vernon should sprinkle the pancake snape must not prepare the croissant', 'because vernon should not sprinkle the croissant', 11, 12, 7, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
"['because neville should prepare the chocolate petunia should not make the pancake', 'because neville should not prepare the chocolate', 11, 12, 7, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
"['since lupin should make the strudels because vernon must chew a doughnut that fred can chew he can not chew many chocolates', 'since should not make the strudels that petunia should make many strudels must chew', 21, 22, 14, 0, 0, 'N/A', 'N/A', 0, 0, 0, 1]"
"['because snape must create the doughnut george may not wiggle because he must gobble the eclaires since lupin must chew the doughnuts', 'because snape must not gobble the pancakes since lupin may sprinkle the pancakes', 21, 22, 13, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
"['since neville must sprinkle the doughnut because ginny should chew a croissant lupin should not arrange a cake that neville should prepare', 'since neville must not sprinkle the doughnut since neville must sprinkle the doughnut that a student must sprinkle the doughnut that a student must assemble the doughnut that a student', 21, 22, 30, 0, 0, 'N/A', 'N/A', 0, 0, 0, 0, 0]"
"['since mcgonagall can prepare the croissants sirius should not eat the eclaire that hermione should arrange', 'since mcgonagall can prepare the eclaire that hermione must prepare the eclaire that hermione must prepare', 15, 16, 16, 0, 0, 'N/A', 'N/A', 0, 0, 0, 0, 0]"
"['because he must chew many pancakes lupin should not assemble the cakes that george may make', 'because george must chew the pancakes that petunia can assemble the cakes that mcgonagall can assemble the cakes that mcgonagall can assemble', 15, 16, 22, 0, 0, 'N/A', 'N/A', 0, 0, 0, 1]"
"['because hagrid may swim the student must not assemble the pancake which he must assemble', 'because she should not gobble the pancake which a wizard should make', 14, 15, 12, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
"['because james must eat the strudels that lupin must make the student can not wiggle', 'because james must not wiggle since neville must wiggle', 14, 15, 9, 0, 1, 0, 0, 0, 0, 1, 1, 1]"
"['since sirius can prepare a pancake a professor must not chew a croissant that sirius should arrange', 'since sirius can prepare a eclaire that a professor should arrange', 16, 17, 11, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
"['because the witch should sprinkle the cakes which harry can sprinkle dobby can not make the strudel', 'because james should sprinkle the cakes which the witch should sprinkle the cakes which can sprinkle', 16, 17, 16, 0, 0, 'N/A', 'N/A', 0, 0, 0, 0, 0]"
"['because a student may eat the croissant dobby can not chew the chocolates that hermione may eat', 'because a student should eat the croissant', 16, 17, 7, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
"['since the professor should assemble the baklava which petunia should create george may not eat many cakes', 'since the professor should assemble the baklava which petunia must assemble the baklava which the student should assemble the baklava which the student should assemble', 16, 17, 25, 0, 0, 'N/A', 'N/A', 0, 0, 0, 0, 0]"
"['since ginny must sprinkle a pancake which sirius should eat the student can not create a souffle', 'since must not sprinkle a souffle which sirius should eat the souffle', 16, 17, 12, 0, 0, 'N/A', 'N/A', 0, 0, 0, 0, 0]"
"['because george should eat the pancakes lily must not assemble the doughnuts that james may gobble', 'because george should not eat the pancakes that dobby must create the doughnuts that a student should assemble the doughnuts that a student should assemble', 15, 16, 25, 0, 0, 'N/A', 'N/A', 0, 0, 0, 1]"
"['since mcgonagall should prepare the croissants that he must eat vernon may not make the cake', 'since should not prepare the croissants that she must prepare', 15, 16, 10, 0, 0, 'N/A', 'N/A', 0, 0, 0, 0, 0]"
"['because fred can swim a wizard can not sprinkle many doughnuts which petunia can eat', 'because a can swim many doughnuts which a student should prepare many doughnuts which she should prepare', 14, 15, 17, 0, 0, 'N/A', 'N/A', 0, 0, 0, 0, 0]"
"['because a student may make the cakes that he should chew neville must not laugh', 'because a student should not make the chocolates that a professor should make the cakes that the should assemble', 14, 15, 19, 0, 0, 'N/A', 'N/A', 0, 0, 0, 0, 0]"
"['because voldemort can create the chocolates that mcgonagall may make mcgonagall may not create the souffles which hermione must assemble', 'voldemort can not create the souffles that she can arrange', 19, 20, 10, 0, 1, 0, 0, 1, 1, 1, 1]"
"['because sirius can create the strudel that hermione may create ron must not sprinkle a strudel because ron may giggle', 'because can can not create the strudel that ron must create', 19, 20, 11, 0, 0, 'N/A', 'N/A', 0, 0, 0, 0, 0]"
"['because albus may assemble the chocolates which she should make the witch must not arrange the croissants that vernon can chew', 'because albus may not assemble the cookie that because james may assemble the croissants that she must assemble', 20, 21, 18, 0, 0, 'N/A', 'N/A', 0, 0, 0, 0, 0]"
"['because a witch must gobble the chocolates which ron must chew voldemort may not arrange the doughnut which albus can eat', 'because must not gobble the doughnut which she may gobble', 20, 21, 10, 0, 0, 'N/A', 'N/A', 0, 0, 0, 0, 0]"
"['because the wizard may run because petunia can chew the baklava mcgonagall must not create the eclaires that petunia may sprinkle', 'because ginny may not arrange the croissants that a student may chew because harry may create the baklava', 20, 21, 18, 0, 1, 0, 0, 0, 0, 1, 1]"
"['since the student may wiggle vernon must not eat the pancakes', 'since the student must eat the pancakes since the student must eat the pancakes', 10, 11, 14, 0, 1, 0, 0, 0, 0, 0, 1]"
"['since snape must sprinkle the chocolates a student can not party', 'since must not sprinkle the chocolates a student since the witch must sprinkle the chocolates', 10, 11, 15, 0, 0, 'N/A', 'N/A', 0, 0, 0, 0, 0]"
"['since the wizard must create the souffles he must not run', 'since james must not run', 10, 11, 5, 0, 1, 0, 0, 0, 0, 1, 1, 1]"
"['since albus must walk the witch can not gobble a cake', 'since albus must not chew the chocolates', 10, 11, 7, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
"['since ron can laugh the witch must not create many chocolates', 'since must laugh since james can laugh', 10, 11, 7, 0, 0, 'N/A', 'N/A', 0, 0, 0, 0, 0]"
"['since ginny must create many chocolates that neville can sprinkle since she must hiccup the student should not arrange a pancake which he can make', 'since must not sprinkle the chocolates that a professor must eat the chocolates that hermione can sprinkle', 24, 25, 17, 0, 0, 'N/A', 'N/A', 0, 0, 0, 0, 0]"
"['since neville can jump since george should gobble a cake which the professor can chew petunia should not create many strudels which james must create', 'since neville can jump since george should jump because ginny should assemble the chocolates which neville should hide', 24, 25, 18, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
"['because ron can gobble the chocolate that hagrid must sprinkle since the wizard should jump draco should not make a souffle which dobby must make', 'because a professor can gobble the chocolate that hagrid may gobble the chocolate that hagrid may gobble', 24, 25, 17, 0, 0, 'N/A', 'N/A', 0, 0, 0, 0, 0]"
"['since mcgonagall can giggle since hermione must assemble the doughnut he may not create a pancake which the professor can sprinkle because george should swim', 'since mcgonagall can sprinkle the professor can assemble the doughnut which dobby must assemble the doughnut which dobby must assemble the doughnut which dobby must assemble the doughnut which dobby', 24, 25, 30, 0, 0, 'N/A', 'N/A', 0, 0, 0, 0, 0]"
"['because he should eat the croissants albus must not arrange a cookie', 'because albus should eat the croissants albus must eat the croissants', 11, 12, 11, 0, 1, 0, 0, 1, 0, 0]"
"['since harry must hide the souffles james can not make the cakes', 'since must not hide the souffles that draco must hide the souffles', 11, 12, 12, 0, 0, 'N/A', 'N/A', 0, 0, 0, 0, 0]"
"['since he should chew the croissants ron should not create the croissants', 'since he should not chew the croissants ron can chew the croissants', 11, 12, 12, 0, 1, 0, 1, 1, 1, 0, 0]"
"['because sirius can create the cookie draco must not assemble the cakes', 'because can can assemble the cookie because draco must assemble the pancake', 11, 12, 12, 0, 0, 'N/A', 'N/A', 0, 0, 0, 1]"
"['since lupin should assemble the doughnuts ginny may not create a chocolate', 'since should not assemble the doughnuts which lupin should assemble the doughnuts', 11, 12, 12, 0, 0, 'N/A', 'N/A', 0, 0, 0, 0, 0]"
"['because a professor must hide the baklava she should not chew the strudel', 'because a professor must not sprinkle the strudel because she must eat the baklava', 12, 13, 14, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
"['since the professor may assemble many baklava george should not sprinkle a eclaire', 'since the professor may not assemble many baklava', 12, 13, 8, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
"['since he can sprinkle the baklava which a student should sprinkle lupin must not run', 'since he can not sprinkle the baklava which lupin must sprinkle the baklava which lupin must sprinkle', 14, 15, 17, 0, 0, 'N/A', 'N/A', 0, 0, 0, 0, 0]"
"['because petunia must eat the cake that ginny may eat she must not sprinkle the strudels which petunia should make', 'because petunia must not eat the chocolates that a professor should sprinkle the strudels', 19, 20, 14, 0, 0, 'N/A', 'N/A', 0, 0, 0, 1]"
"['since the professor should wiggle since he may wiggle since neville should jump a student may not hide the chocolate', 'since the professor should not hide the chocolate since dobby may hide the chocolate', 19, 20, 14, 0, 1, 0, 0, 0, 0, 1, 1, 1]"
"['because he must prepare the cake that dobby can assemble james must not gobble the doughnuts which he should create', 'because she must not prepare the doughnuts that a student should prepare', 19, 20, 12, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
"['since hagrid can eat the souffles which ron should chew james must not sprinkle a pancake that voldemort may hide', 'since hagrid can not eat the souffles ron must prepare the souffles ron must prepare', 19, 20, 15, 0, 0, 'N/A', 'N/A', 0, 0, 0, 0, 0]"
"['because mcgonagall should assemble a pancake which a student can hide because neville should party hagrid may not chew the strudels', 'because should not assemble the which a student should gobble the strudels', 20, 21, 12, 0, 0, 'N/A', 'N/A', 0, 0, 0, 0, 0]"
"['because the professor can eat the cookies that he must assemble she must not sprinkle a eclaire which fred should create', 'because the professor can not eat the cookies that the professor must eat', 20, 21, 13, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
"['because snape must swim a wizard should not sprinkle the croissants which albus must hide since vernon must make the baklava', 'because a should not sprinkle the croissants which a professor should sprinkle', 20, 21, 12, 0, 0, 'N/A', 'N/A', 0, 0, 0, 1, 1]"
"['since a professor can chew the baklava that lily may chew james can not hide the eclaire that she must prepare', 'since a professor can not chew the baklava that the professor may hide because that ginny should hide', 20, 21, 18, 0, 0, 'N/A', 'N/A', 0, 0, 0, 1]"
"['since petunia must arrange a souffle that snape should gobble harry should not arrange a souffle', 'since must not arrange a souffle that snape should gobble a souffle that snape should gobble', 15, 16, 16, 0, 0, 'N/A', 'N/A', 0, 0, 0, 1, 1]"
"['because she should create the chocolate which he must make ron may not sprinkle the doughnut', 'because she should sprinkle the chocolate which a professor should sprinkle', 15, 16, 11, 0, 1, 0, 0, 0, 0, 0, 1]"
"['because voldemort must create the croissants which vernon should eat george may not prepare the croissant', 'voldemort must not prepare the croissant since neville may assemble the croissant which the professor may prepare', 15, 16, 17, 0, 1, 0, 0, 1, 1, 1, 1]"
"['because he must sprinkle the strudels that vernon should create petunia can not assemble a doughnut', 'because she must sprinkle the strudels that vernon must sprinkle the strudels that ginny must sprinkle', 15, 16, 16, 0, 0, 'N/A', 'N/A', 0, 0, 0, 0, 0]"
"['because vernon may chew the baklava that lily should make fred may not assemble a chocolate', 'because james may not chew the baklava that the should arrange', 15, 16, 11, 0, 0, 'N/A', 'N/A', 0, 0, 0, 0, 0]"
"['since harry must prepare the strudels which mcgonagall should gobble he must not chew the pancakes', 'since must not prepare the strudels which the student must prepare', 15, 16, 11, 0, 0, 'N/A', 'N/A', 0, 0, 0, 0, 0]"
"['since a student should chew the strudel which vernon must prepare the student should not make the croissant which harry must assemble', 'since a student should not chew the strudel which the student must chew the croissant which the professor must chew', 21, 22, 20, 0, 0, 'N/A', 'N/A', 0, 0, 0, 0, 0]"
